arm,dataset,n,weighting,rule,bandwidth,h_over_sd,loo,model_sd_over_data_sd,mass_below,w1
empirical,BlownInsulation [cellulose],3,Uniform,cv,0.0901200681531163,0.07952032589279436,0.31636506061785763,1.004427804562379,0.0156235615104644,0.12180423934451758
empirical,BlownInsulation [cellulose],3,Variable,scott,1.0859608531706972,0.9244799964394895,-2.780515492920174,1.0484658219766168,0.28498497662088257,0.792195435161309
empirical,BlownInsulation [cellulose],3,Variable,silverman,0.48040252098502306,0.4089673394699674,-6.2398709430200965,0.978617058133928,0.2367032444741444,0.48822602307786767
empirical,BlownInsulation [cellulose],3,Variable,silverman_floored,0.48040252098502306,0.4089673394699674,-6.2398709430200965,0.978617058133928,0.2367032444741444,0.48822602307786767
empirical,BlownInsulation [cellulose],3,Variable,cv,0.08925108310381959,0.07597957214491802,-1.5436923856145492,1.0047273468808615,0.025693964708058147,0.08932728660625601
empirical,BlownInsulation [type not stated],16,Uniform,scott,0.3911110797158353,0.6088101281484285,-0.9797374750962793,1.124775661943481,0.04514000991086865,0.19014358672940415
empirical,BlownInsulation [type not stated],16,Uniform,silverman,0.1863035806470128,0.2900033077319816,-1.4860289944868512,1.0393178860319476,0.0026928761532743588,0.13346789651045293
empirical,BlownInsulation [type not stated],16,Uniform,silverman_floored,0.1863035806470128,0.2900033077319816,-1.4860289944868512,1.0393178860319476,0.0026928761532743588,0.13346789651045293
empirical,BlownInsulation [type not stated],16,Uniform,cv,0.1021584630048083,0.15902159304357258,-0.5695997390898777,1.0127705035030354,8.578028714950456e-06,0.11597154740042463
empirical,BlownInsulation [type not stated],16,Variable,scott,0.4384778084992943,0.7520991769781891,-1.0482332730569341,1.1843662729025435,0.044213307239567234,0.1898537073372083
empirical,BlownInsulation [type not stated],16,Variable,silverman,0.12589955596817978,0.21594924666692653,-2.3697770811084315,1.023146900761407,0.00014851329963931268,0.07250679489243142
empirical,BlownInsulation [type not stated],16,Variable,silverman_floored,0.12589955596817978,0.21594924666692653,-2.3697770811084315,1.023146900761407,0.00014851329963931268,0.07250679489243142
empirical,BlownInsulation [type not stated],16,Variable,cv,0.6919629067203246,1.1868895587326609,-0.9834061692942804,1.3561881763622896,0.10900509123915458,0.2836437196648037
empirical,BoardInsulation [EPS],47,Uniform,scott,0.7452605354796544,0.49077936422137036,-0.9626872261052875,1.1060499996573523,0.21677872106878185,0.5131285652563626
empirical,BoardInsulation [EPS],47,Uniform,silverman,0.2997091936500117,0.19736867915082013,-0.9011136654787775,1.0404520186255093,0.11247724500741448,0.3177717005346725
empirical,BoardInsulation [EPS],47,Uniform,silverman_floored,0.2997091936500117,0.19736867915082013,-0.9011136654787775,1.0404520186255093,0.11247724500741448,0.3177717005346725
empirical,BoardInsulation [EPS],47,Uniform,cv,0.024918790964891434,0.016409869843763535,-0.8581626939829934,1.001765673577041,0.005700394337909064,0.24173958314962024
empirical,BoardInsulation [EPS],47,Variable,scott,0.5760963042510927,0.5667781108788821,-1.051051427776313,1.0699773906326813,0.1844981767718476,0.309472970146224
empirical,BoardInsulation [EPS],47,Variable,silverman,0.35723973181748164,0.3514614810688688,-1.0184436704877409,1.0343454368898204,0.1260346081566165,0.18265575748882576
empirical,BoardInsulation [EPS],47,Variable,silverman_floored,0.35723973181748164,0.3514614810688688,-1.0184436704877409,1.0343454368898204,0.1260346081566165,0.18265575748882576
empirical,BoardInsulation [EPS],47,Variable,cv,0.325276427043291,0.32001517363089266,-1.0186825546949172,1.030705721508832,0.11559798243321244,0.16448211613395458
empirical,BoardInsulation [PIR or PUR],50,Uniform,scott,0.6789003360569263,0.4847433550429659,-1.057327113937618,1.0942021099934367,0.20895169472511183,0.5397447604860646
empirical,BoardInsulation [PIR or PUR],50,Uniform,silverman,0.28564116532683914,0.2039513746938318,-1.103307337878469,1.0335387635849076,0.08114024726543793,0.30729426697353723
empirical,BoardInsulation [PIR or PUR],50,Uniform,silverman_floored,0.28564116532683914,0.2039513746938318,-1.103307337878469,1.0335387635849076,0.08114024726543793,0.30729426697353723
empirical,BoardInsulation [PIR or PUR],50,Uniform,cv,0.1559491611236382,0.1113496570325305,-0.6728197769528955,1.0113004372637444,0.023557065675464978,0.2492550457874526
empirical,BoardInsulation [PIR or PUR],50,Variable,scott,0.5274334121402626,0.569774223945271,-1.0183152377844589,1.0839858281732708,0.16989446873457412,0.2853456092299797
empirical,BoardInsulation [PIR or PUR],50,Variable,silverman,0.3399270998626987,0.3672154532954184,-1.033620816046626,1.0477568521600806,0.10238002480473599,0.17471203103157984
empirical,BoardInsulation [PIR or PUR],50,Variable,silverman_floored,0.3399270998626987,0.3672154532954184,-1.033620816046626,1.0477568521600806,0.10238002480473599,0.17471203103157984
empirical,BoardInsulation [PIR or PUR],50,Variable,cv,0.04334779026446395,0.0468276240927815,-0.5261711698069581,1.001625761966422,0.0002076913464767302,0.02249467537550524
empirical,BoardInsulation [XPS],19,Uniform,scott,0.7431528207645299,0.5882408019980557,-1.5338011676597452,1.1006727487529762,0.21444634333895302,0.41351264071015476
empirical,BoardInsulation [XPS],19,Uniform,silverman,0.20445724637936735,0.1618376344999719,-0.8413454283799054,1.0189077089607488,0.05930117975436328,0.24224900606049393
empirical,BoardInsulation [XPS],19,Uniform,silverman_floored,0.2103262700276971,0.16648324584850632,-0.8338812606244139,1.0197488164628348,0.06131700015815668,0.24249031459253106
empirical,BoardInsulation [XPS],19,Uniform,cv,0.06107696605382822,0.04834532345332484,-0.5575045872157207,1.0025709094958202,0.007571721709839768,0.2440199183195863
empirical,BoardInsulation [XPS],19,Variable,scott,1.0294326101987203,0.6437995282785831,-1.8222124567357638,1.1034892188445506,0.249321954579804,0.6681327325023448
empirical,BoardInsulation [XPS],19,Variable,silverman,0.3299713356106281,0.20636162883024284,-1.0062342409576548,1.0297731378488753,0.09912292998685965,0.19536706681075727
empirical,BoardInsulation [XPS],19,Variable,silverman_floored,0.3299713356106281,0.20636162883024284,-1.0062342409576548,1.0297731378488753,0.09912292998685965,0.19536706681075727
empirical,BoardInsulation [XPS],19,Variable,cv,0.05754473725813387,0.03598805238407012,-0.590436549228601,1.001171713196756,0.0018873602068104978,0.035577510929200626
empirical,BoardInsulation [mineral wool],77,Uniform,scott,0.28711748529419207,0.4446391715213712,-0.9017616387862752,1.075984711252964,0.020370519343204545,0.09603481377764692
