dataset,n,kde_scott_Uniform,h_over_sd_scott_Uniform,mass_below_scott_Uniform,kde_silverman_Uniform,h_over_sd_silverman_Uniform,mass_below_silverman_Uniform,lognormal_Uniform,kde_scott_Variable,h_over_sd_scott_Variable,mass_below_scott_Variable,kde_silverman_Variable,h_over_sd_silverman_Variable,mass_below_silverman_Variable,lognormal_Variable
Coil,140,0.10326851160507702,0.3945302049829553,0.022318944178558498,0.11398197990795073,0.2721655330293486,0.009697129467937616,0.12179419673420341,0.0988943115843503,0.45327773535975213,0.05317564506464155,0.07645372197028777,0.34462168393854825,0.03562550059810466,0.09778313137220958
CompositeLumber,16,0.15250917875356332,0.6088101281484285,0.0015508718876683883,0.12840462034242392,0.2958814197025731,5.825486395446034e-07,0.11715552750600121,0.08167519798796011,0.7361967813539649,0.0001272192330087975,0.06181624873147647,0.5433146563037479,5.4268603904319e-06,0.060417295944305005
CompositionSiding,3,0.33786048680555086,0.8509060554658445,0.13286231215758218,0.3047263883142536,0.7224674055842077,0.12517774371670162,0.3448294206419265,0.3573042806323476,0.9166628470825744,0.12014221026168315,0.3248896993693345,0.7782986437493554,0.11275690153470945,0.3442702888129965
ConcreteAdmixtures,118,1.3710880091614914,0.40825307428202723,0.3397698960991134,0.4303237965188933,0.05349214091646068,0.08640167726365351,0.34142211809991435,0.4448171954293003,0.4796303600802418,0.2585704036556373,0.07623190326256561,0.1059893299988031,0.06250842433443618,0.18018941305158687
ConcretePaving [3000-3999 psi],108,0.021440534411840007,0.4155479212920512,1.6299802102728764e-12,0.019366148991462773,0.352823706757402,6.304328406137225e-16,0.03316634188493844,0.02525841726459214,0.46910469190364196,4.885759006775929e-10,0.021546739843533533,0.39829643652196006,1.4378715260008965e-12,0.03192361493182582
ConcretePaving [4000-4999 psi],160,0.02352756451655235,0.3841332217491785,5.129839383293468e-09,0.018453432952556893,0.2863157162397719,3.968256819963008e-13,0.0259369108901331,0.023845619126525202,0.44120854255517206,3.4354730319810755e-08,0.017299745559106385,0.33049725100159794,2.3608929643943723e-11,0.02454787902311676
ConcretePaving [5000-5999 psi],42,0.09709946130910892,0.5019448551954263,5.7188800053628785e-08,0.0929386397926536,0.4261795940338525,4.654271798885221e-10,0.08686628374878885,0.04480399718747517,0.5983291524817443,3.7600056322593917e-07,0.0380991740579002,0.49874336830624544,3.1493677571542148e-09,0.051745592381141826
ConcretePaving [<3000 psi],32,0.055372946255744133,0.53,1.3543966364209241e-08,0.05398308085058456,0.45,6.602150665422158e-11,0.06372858256602375,0.04969645943058117,0.6317462388479285,5.124242953169938e-06,0.04321498528053278,0.5363883160029581,2.076046268303891e-07,0.04583886555291042
ConcretePaving [strength not stated],38,0.2449324430605841,0.5120933615331712,0.011754500920949611,0.17931791694185653,0.24043561601760932,4.0540178370149354e-05,0.13711606417783767,0.06279262666724007,0.6006211121611501,0.000205745166552585,0.054285702105192464,0.5099613216462595,2.95313777832216e-05,0.055643486261701736
Countertops,76,0.46824515499122954,0.44580316434290795,0.17548816788789423,0.4038510420974185,0.3289795058532045,0.15110177161769817,0.29094703878742717,0.37867493253923445,0.5134756280397464,0.22998292377960367,0.24915404795994578,0.31211905639515963,0.18284470531889319,0.17746406637468237
CurtainWalls,54,0.12624126215443243,0.47733921361061676,0.04509366814068449,0.11303080605384319,0.30417732040047146,0.013065641370267458,0.12280737189458799,0.13456134398148753,0.5487164505842806,0.04709211408975885,0.11291384829446398,0.4606866297486992,0.03054496347847203,0.11155208705786375
DampproofingAndWaterproofing,162,0.8010718873641539,0.38318002582318683,0.31105801284304163,0.1434335287113982,0.04615321480081392,0.039390664175581305,0.5887883204810218,0.7791724793142314,0.4317262368140608,0.31046188882755255,0.06545856645476436,0.053890341172925474,0.04258317584532313,0.5757460453968697
DataCabling,951,0.6526072934147202,0.268948893509106,0.2869911704582734,0.382326291461463,0.08159629366452271,0.19309260981411328,0.5273374400992735,0.6229467913638486,0.306962163999391,0.30789918944340283,0.2847844139064604,0.07000814835903697,0.1903539460012015,0.5198032238083613
DeckingBoards,7,0.24060498596597138,0.7182675682045098,0.033484012658599134,0.24348189062363534,0.42829217076035164,0.004825281851176215,0.29104461018554373,0.1819613869179339,0.7716479612749071,0.01800194671718601,0.11421760179145146,0.4157683160581899,0.0013969079239745867,0.14616702153163924
DeckingSteel,62,0.05498032633931599,0.46433083754159427,3.71925818817214e-05,0.0479940251873797,0.3485131705681234,8.761918922611946e-07,0.04716150579924855,0.037833471927997187,0.5298050108247404,3.142231028530912e-05,0.020553708688473095,0.3137744425627834,6.213676206553858e-09,0.039583451479572776
DemountablePartitionTrack,4,0.31652826617589486,0.8033297802505109,0.1315961785717629,0.287288487169398,0.6820724549296792,0.11390706905890742,0.3705614831269311,0.28296348982980013,0.8490462316493359,0.138981275280755,0.25446578414234033,0.7208883098909455,0.12425919202155145,0.382411423631514
