arm,dataset,n,weighting,family,mass_below_zero,w1_untruncated,w1_truncated,w1_stage1
synthetic,dataset7981,7873,Variable,normal,0.20810036324739567,0.7360664194356109,0.7241716069754327,0.7181159807627336
synthetic,dataset7981,7873,Variable,kde,0.05126116817391572,0.08933476013133168,0.08836485738940303,
synthetic,dataset7986,8809,Uniform,normal,0.005755434867364924,0.12057970503296182,0.11732540889288276,0.11740535313696367
synthetic,dataset7986,8809,Uniform,kde,1.2646022737681196e-05,0.07092188719877092,0.07091559426075147,
synthetic,dataset7986,8809,Variable,normal,0.0015253993180540145,0.07095777727896883,0.06999881106997863,0.07005459894599579
synthetic,dataset7986,8809,Variable,kde,7.841842741710999e-06,0.010564036429042089,0.010560131598023896,
synthetic,dataset799,7,Uniform,normal,8.946143031592591e-13,0.06624217387183463,0.06624217387100438,0.06624084452791239
synthetic,dataset799,7,Uniform,kde,1.0856198650338519e-15,0.08138879465102049,0.08138879465101936,
synthetic,dataset799,7,Variable,normal,2.016320396697782e-18,0.050620872291810774,0.050620872291810774,0.050627767640078314
synthetic,dataset799,7,Variable,kde,5.0714737515481416e-15,0.062478994593741864,0.06247899459373722,
synthetic,dataset7991,8792,Uniform,normal,0.1123688684950484,0.2711003867082063,0.26059792818875593,0.2583714040033531
synthetic,dataset7991,8792,Uniform,kde,0.015298360817836164,0.038982026486760975,0.038741177346901065,
synthetic,dataset7991,8792,Variable,normal,0.12756592864064364,0.32094042995848243,0.31263456453816074,0.31006210414010005
synthetic,dataset7991,8792,Variable,kde,0.02417177800840435,0.027537853063297084,0.028949304875368106,
synthetic,dataset8001,7901,Uniform,normal,0.04452552366416842,0.10119812902810932,0.10213986128964246,0.10125646878709287
synthetic,dataset8001,7901,Uniform,kde,0.00958273115434718,0.010235092738871078,0.011889404951563595,
synthetic,dataset8001,7901,Variable,normal,0.04853597074922632,0.11047551154975922,0.10836662877985308,0.10743192337639063
synthetic,dataset8001,7901,Variable,kde,0.01170313475307483,0.013097680270038034,0.013100645113397357,
synthetic,dataset8006,3511,Uniform,normal,0.13014982631571614,0.32541262809718596,0.1523966367230416,0.1551885363153952
synthetic,dataset8006,3511,Uniform,kde,0.022268361990038836,0.3254587510944643,0.3003273165650022,
synthetic,dataset8006,3511,Variable,normal,0.10843683290940531,0.36246361029144436,0.3188107122098869,0.31732889146443805
synthetic,dataset8006,3511,Variable,kde,0.021329058363576004,0.055367090707293565,0.04552129844763704,
synthetic,dataset8018,2142,Uniform,normal,0.03912558028931116,0.08474876747942343,0.06361693057643046,0.06375093691919195
synthetic,dataset8018,2142,Uniform,kde,0.010354940819923443,0.04246361568499878,0.032558554188238296,
synthetic,dataset8018,2142,Variable,normal,0.031724387649634075,0.08748179169034807,0.07728987412420192,0.07723565783910251
synthetic,dataset8018,2142,Variable,kde,0.010631602274349915,0.021526098230300193,0.017764939313510895,
synthetic,dataset8025,3069,Uniform,normal,0.0793686851708591,0.16017094573646426,0.15957000974419933,0.15861609064038695
synthetic,dataset8025,3069,Uniform,kde,0.013987835033672631,0.05986037381607511,0.05849359319623789,
synthetic,dataset8025,3069,Variable,normal,0.06067138863828265,0.1143917906737978,0.11514875297354685,0.1143518022974645
synthetic,dataset8025,3069,Variable,kde,0.0175832641176388,0.03262836416592128,0.02928119856878288,
synthetic,dataset8045,1619,Uniform,normal,0.038657478636342044,0.19553516861932338,0.2151105706468037,0.21432869675934013
synthetic,dataset8045,1619,Uniform,kde,0.011401917689706515,0.16201947110631584,0.1707686891529834,
synthetic,dataset8045,1619,Variable,normal,0.06128042266713783,0.11109483615750182,0.10680539439331443,0.10613187307835593
synthetic,dataset8045,1619,Variable,kde,0.02038253011178007,0.024238923222959577,0.022755270008515745,
synthetic,dataset8046,5190,Uniform,normal,1.1666121566687664e-06,0.028762261013106232,0.02876128129031278,0.028767708062695685
synthetic,dataset8046,5190,Uniform,kde,1.8399760365564998e-31,0.003730930696525771,0.0037309306965124774,
synthetic,dataset8046,5190,Variable,normal,1.4873279662308617e-06,0.030075232589265734,0.03007398890475989,0.030083731065500982
synthetic,dataset8046,5190,Variable,kde,1.4956165091356829e-24,0.005768155057461768,0.005768155057461768,
synthetic,dataset8051,5640,Uniform,normal,1.0096605928802854e-14,0.01566810965016406,0.015668109650157396,0.015672231931926444
synthetic,dataset8051,5640,Uniform,kde,3.7218758086769306e-145,0.004491214874723206,0.004491214874722199,
synthetic,dataset8051,5640,Variable,normal,7.933574677593126e-15,0.015315181600385155,0.015315181600379943,0.015321164412965726
synthetic,dataset8051,5640,Variable,kde,7.331527937059773e-77,0.004773558338308219,0.004773558338308219,
synthetic,dataset8056,3776,Uniform,normal,3.896064940164217e-53,0.00919978689484923,0.00919978689484923,0.00923205326974789
synthetic,dataset8056,3776,Uniform,kde,0.0,0.007313990150593476,0.007313990150593476,
synthetic,dataset8056,3776,Variable,normal,6.266960484485107e-49,0.008225298748156749,0.008225298748156749,0.008231748616723086
synthetic,dataset8056,3776,Variable,kde,0.0,0.002073348702001536,0.002073348702001536,
synthetic,dataset8057,2016,Uniform,normal,0.00024909155849172103,0.06747729272673351,0.06726887547355241,0.0672787541831153
synthetic,dataset8057,2016,Uniform,kde,5.0755782533352316e-11,0.023527985031559184,0.023527984992399584,
synthetic,dataset8057,2016,Variable,normal,0.0001972074463387418,0.06503855210734262,0.0648734932121301,0.06488114749618848
synthetic,dataset8057,2016,Variable,kde,4.106160332786052e-09,0.016674601408179522,0.016674598329132977,
synthetic,dataset8061,1710,Uniform,normal,0.001420195657121261,0.07034746300718332,0.06941645558461873,0.06944934613124337
synthetic,dataset8061,1710,Uniform,kde,5.763381550456698e-06,0.02979802563847778,0.02979453375092924,
synthetic,dataset8061,1710,Variable,normal,0.0016000034766666758,0.07578681488202522,0.07474671398161746,0.07478222035090615
synthetic,dataset8061,1710,Variable,kde,1.6042452969719876e-05,0.0155496629790582,0.015539408523632791,
synthetic,dataset8070,2656,Uniform,normal,0.0821489754430248,0.13836647342711594,0.11298986044172452,0.1121338075303929
synthetic,dataset8070,2656,Uniform,kde,0.01852494285269575,0.08723224719751592,0.06751976689478478,
synthetic,dataset8070,2656,Variable,normal,0.0703570642707412,0.16185396103627037,0.1648322672329545,0.1636155355292644
synthetic,dataset8070,2656,Variable,kde,0.022050094341380295,0.027558438752198725,0.028216858075482923,
synthetic,dataset8071,3416,Uniform,normal,0.018996809847066476,0.12587501613535887,0.11512394755423556,0.11533538378599151
synthetic,dataset8071,3416,Uniform,kde,0.00034665439397791665,0.016590970148965236,0.016339969188448482,
synthetic,dataset8071,3416,Variable,normal,0.023504784457909305,0.14043590219636704,0.1273737391827651,0.12757423609015922
synthetic,dataset8071,3416,Variable,kde,0.0009296656812368999,0.01899125977670898,0.018459337468057183,
synthetic,dataset8078,9516,Uniform,normal,0.05746440875104614,0.12832348920288436,0.12376147292496172,0.12262968092644541
synthetic,dataset8078,9516,Uniform,kde,0.010113925042751113,0.014139231745597988,0.012447571348779288,
synthetic,dataset8078,9516,Variable,normal,0.05917998747196832,0.1325877533886173,0.1275236655938422,0.1263679938972945
synthetic,dataset8078,9516,Variable,kde,0.011883501472831856,0.013341399853430662,0.013506834921881193,
synthetic,dataset8083,3779,Uniform,normal,0.007733570092040717,0.07530102499500976,0.07788494707947548,0.07778588026647892
synthetic,dataset8083,3779,Uniform,kde,0.00046651355078638546,0.05083798675462996,0.051120146260220614,
synthetic,dataset8083,3779,Variable,normal,0.01052052537971449,0.048558491965964276,0.04375415608047122,0.043869609890876037
synthetic,dataset8083,3779,Variable,kde,0.001102166832322026,0.010745338307780548,0.01012533444249436,
synthetic,dataset8092,1838,Uniform,normal,0.12622069919472312,0.28921385771488134,0.2599560659838146,0.2584365641306696
synthetic,dataset8092,1838,Uniform,kde,0.02596828001277675,0.04180823929754892,0.03342123489804044,
synthetic,dataset8092,1838,Variable,normal,0.09910155876536564,0.2352483852143723,0.218327540534227,0.21706141906782161
synthetic,dataset8092,1838,Variable,kde,0.02413797509546228,0.035939515246781635,0.03168976067495625,
synthetic,dataset8095,7227,Uniform,normal,0.02426659890285892,0.1304450872503003,0.11996116658074554,0.1200935059450878
synthetic,dataset8095,7227,Uniform,kde,0.0003220596812354985,0.022670415604605643,0.022698126891182092,
synthetic,dataset8095,7227,Variable,normal,0.02847986601771846,0.13641572113256045,0.12346658528064418,0.12361766469159402
synthetic,dataset8095,7227,Variable,kde,0.000846160298425683,0.014169072092498928,0.013712618536299372,
synthetic,dataset8098,2832,Uniform,normal,6.198807312785066e-94,0.027511787901384387,0.027511787901384387,0.027513011397407867
synthetic,dataset8098,2832,Uniform,kde,0.0,0.02697637139938791,0.02697637139938856,
synthetic,dataset8098,2832,Variable,normal,4.9924951513038315e-166,0.007587287148056716,0.007587287148056716,0.007594068431616471
synthetic,dataset8098,2832,Variable,kde,0.0,0.0019963897154930796,0.0019963897154931715,
synthetic,dataset8110,1976,Uniform,normal,0.1320975359942521,0.3292632717298865,0.31963921800093126,0.3166128760617162
synthetic,dataset8110,1976,Uniform,kde,0.025391137407778822,0.17925430864024908,0.17822648844057482,
synthetic,dataset8110,1976,Variable,normal,0.1567586569592237,0.44645815751934603,0.46555375752815203,0.46185593430335703
synthetic,dataset8110,1976,Variable,kde,0.07092476505732513,0.09061193722102852,0.10607422561240933,
synthetic,dataset8114,1339,Uniform,normal,0.06411499264982717,0.19961046515762676,0.15849817539507477,0.15882746020186805
synthetic,dataset8114,1339,Uniform,kde,0.014531488030024874,0.15014128891039713,0.14136851600758332,
synthetic,dataset8114,1339,Variable,normal,0.024437924308990677,0.11149598665435555,0.09858954581812365,0.09885469685374818
synthetic,dataset8114,1339,Variable,kde,0.006200811734456008,0.03434289192483945,0.030242683021052333,
synthetic,dataset8123,1568,Uniform,normal,0.08047243773422819,0.18067847530159634,0.1616692596717512,0.1609782535512197
synthetic,dataset8123,1568,Uniform,kde,0.016374887317920413,0.07018664814903719,0.05579279589261305,
synthetic,dataset8123,1568,Variable,normal,0.08727234382310256,0.2254012849143638,0.21770466695100876,0.2165831516878704
synthetic,dataset8123,1568,Variable,kde,0.02797027623256913,0.0433291706945358,0.040656004926641794,
synthetic,dataset8125,2270,Uniform,normal,1.1176621745891856e-14,0.03300681481130281,0.03300681481129416,0.03300845829519375
synthetic,dataset8125,2270,Uniform,kde,5.619307650902204e-106,0.01897122316599544,0.01897122316599028,
synthetic,dataset8125,2270,Variable,normal,8.433149532594909e-19,0.02469766235327787,0.024697662353277867,0.02470135839028778
synthetic,dataset8125,2270,Variable,kde,4.802557711962888e-94,0.006104247286829361,0.006104247286829361,
synthetic,dataset8128,4062,Uniform,normal,0.0800010751457022,0.26983684185559176,0.23258844609720128,0.232733390306893
synthetic,dataset8128,4062,Uniform,kde,0.008181703978979002,0.07979563678151239,0.07626228331061649,
synthetic,dataset8128,4062,Variable,normal,0.056271809703456806,0.19004656643110046,0.1604406506143792,0.160824501548392
synthetic,dataset8128,4062,Variable,kde,0.006869551125390409,0.02402378625271182,0.02008066503568524,
synthetic,dataset8130,4464,Uniform,normal,0.1523674582492659,0.3927693674145317,0.4018688912313064,0.3976426361040274
synthetic,dataset8130,4464,Uniform,kde,0.024477328487141285,0.06469388302587513,0.07837929771093008,
synthetic,dataset8130,4464,Variable,normal,0.17213956691340038,0.4042972673989393,0.3991781241355902,0.39474091695660307
synthetic,dataset8130,4464,Variable,kde,0.043993474899995305,0.05114712543950736,0.05326569594648586,
synthetic,dataset8131,7995,Uniform,normal,0.0008086539241748929,0.10705877686957078,0.10620703080485311,0.10624341328377072
synthetic,dataset8131,7995,Uniform,kde,2.676928020956726e-07,0.09704810171866844,0.09704783664075767,
synthetic,dataset8131,7995,Variable,normal,0.00019576520121692692,0.04123847587132954,0.04114305135406907,0.041221794855102356
synthetic,dataset8131,7995,Variable,kde,1.3837501296458408e-06,0.00817396836212729,0.008172800576499226,
synthetic,dataset8134,1813,Uniform,normal,4.957647063598476e-07,0.03817493722248078,0.038174904490049864,0.03817459381978487
synthetic,dataset8134,1813,Uniform,kde,1.5577733289302274e-26,0.035357919610860676,0.03535791961085268,
synthetic,dataset8134,1813,Variable,normal,2.5848475182089915e-05,0.029914827216952194,0.02989492729665876,0.02989078110052159
synthetic,dataset8134,1813,Variable,kde,7.862666732016691e-13,0.012181762338539908,0.01218176233791051,
synthetic,dataset8137,1107,Uniform,normal,0.01037985957819443,0.05795037094152178,0.051779979705792886,0.0519056839280953
synthetic,dataset8137,1107,Uniform,kde,0.0005398157456108861,0.031958795580313795,0.03175595217509534,
synthetic,dataset8137,1107,Variable,normal,0.011136284552170106,0.07189262295925188,0.06568742683824196,0.06581770069355877
synthetic,dataset8137,1107,Variable,kde,0.0013207465647441022,0.023218826072901065,0.022605371702330446,
synthetic,dataset8144,4025,Uniform,normal,0.12350187511187999,0.31143433567189516,0.3015971138947503,0.2991209181402824
synthetic,dataset8144,4025,Uniform,kde,0.022275879423477165,0.03252079076336816,0.03441482384715183,
synthetic,dataset8144,4025,Variable,normal,0.12913498536218398,0.31943937470556055,0.3062503839647917,0.3037022491777108
synthetic,dataset8144,4025,Variable,kde,0.028878928630216814,0.03615191251558125,0.03406867352341235,
synthetic,dataset8148,6704,Uniform,normal,3.483644450342182e-209,0.004585840734247097,0.004585840734247097,0.004596316649332958
synthetic,dataset8148,6704,Uniform,kde,0.0,0.0007047864724725022,0.0007047864724725022,
synthetic,dataset8148,6704,Variable,normal,1.2479882800521122e-205,0.004677577696875205,0.004677577696875205,0.004686128950808322
synthetic,dataset8148,6704,Variable,kde,0.0,0.00081880574071628,0.00081880574071628,
synthetic,dataset8164,2406,Uniform,normal,0.1265566488721932,0.3469502664550076,0.3400701574648563,0.3384757206908038
synthetic,dataset8164,2406,Uniform,kde,0.02507179513872278,0.09485408563942548,0.09503807959903508,
synthetic,dataset8164,2406,Variable,normal,0.13752050329120152,0.3308708217691375,0.31155119670541104,0.3099743183509689
synthetic,dataset8164,2406,Variable,kde,0.03258232108028728,0.050833340234733175,0.04731016679013569,
synthetic,dataset8168,1593,Uniform,normal,0.12802608520898473,0.4389423284857864,0.40683671598201143,0.4062888965187499
synthetic,dataset8168,1593,Uniform,kde,0.023967559274490482,0.18737922393702794,0.18432690878075686,
synthetic,dataset8168,1593,Variable,normal,0.10659117203786389,0.3000275784580901,0.2609805387935613,0.2609635621224097
synthetic,dataset8168,1593,Variable,kde,0.019163917693616014,0.054331178738225266,0.04764357602551892,
synthetic,dataset8173,3464,Uniform,normal,0.09780116036507142,0.21097501309947359,0.15983320718214067,0.15989322010185658
synthetic,dataset8173,3464,Uniform,kde,0.01678417059385562,0.0998098377626003,0.08170809220750905,
synthetic,dataset8173,3464,Variable,normal,0.07195158573919855,0.21311069228366433,0.19407039775762341,0.1935940133659686
synthetic,dataset8173,3464,Variable,kde,0.01573926471376212,0.03197738652488094,0.027191557231578546,
synthetic,dataset8176,4221,Uniform,normal,0.03119531107656252,0.24907303527154945,0.22880902069670236,0.22913894561062792
synthetic,dataset8176,4221,Uniform,kde,0.0014102728104333666,0.1579246591533209,0.1571248827765599,
synthetic,dataset8176,4221,Variable,normal,0.005769546765185871,0.12340275018041368,0.11923546207986693,0.1194063887736917
synthetic,dataset8176,4221,Variable,kde,0.00041101674932986074,0.02446040869588059,0.024161438695634033,
synthetic,dataset8177,3729,Uniform,normal,0.008756897355878675,0.12355220691682306,0.11900685960502899,0.11911472163232677
synthetic,dataset8177,3729,Uniform,kde,9.254104637503219e-05,0.07542322404360091,0.07546178149074131,
synthetic,dataset8177,3729,Variable,normal,0.03620450639761285,0.19175499406524132,0.17003506063522122,0.17030724330517555
synthetic,dataset8177,3729,Variable,kde,0.002314121839236747,0.030109168330784832,0.028804656363322457,
synthetic,dataset8179,2465,Uniform,normal,0.017691192754731844,0.307958730229972,0.3147630519507277,0.3144155222316809
synthetic,dataset8179,2465,Uniform,kde,0.0019327018777200275,0.2909969705276398,0.2923230358825078,
synthetic,dataset8179,2465,Variable,normal,0.01694255309770028,0.05180541622141896,0.045819381073172065,0.04606218505261692
synthetic,dataset8179,2465,Variable,kde,0.0028016026344091483,0.015369514101083491,0.01408389463834934,
synthetic,dataset8185,8484,Uniform,normal,6.763066211545008e-14,0.023727454142950945,0.02372745414289858,0.02373411180727439
synthetic,dataset8185,8484,Uniform,kde,6.632647660306995e-158,0.007158661373806402,0.007158661373806402,
synthetic,dataset8185,8484,Variable,normal,6.093163279878862e-15,0.020479764915585185,0.02047976491558132,0.02050345564184593
synthetic,dataset8185,8484,Variable,kde,7.951921917800991e-120,0.003491328895340033,0.00349132889534029,
synthetic,dataset8187,2589,Uniform,normal,0.00561337420295938,0.05774723131969968,0.0542292571934334,0.05433569080477218
synthetic,dataset8187,2589,Uniform,kde,0.000622993522586706,0.05799212134166008,0.05760689717201176,
synthetic,dataset8187,2589,Variable,normal,0.005897887979725028,0.032809062778349975,0.0331134174235334,0.033109439935691876
synthetic,dataset8187,2589,Variable,kde,0.0016274226804819558,0.01240383406006578,0.011160036302275718,
synthetic,dataset8195,3304,Uniform,normal,0.027664662996941165,0.08055917016745122,0.08930301379611581,0.08893368831299657
synthetic,dataset8195,3304,Uniform,kde,0.009650632541678538,0.06726855041971601,0.07035563367061207,
synthetic,dataset8195,3304,Variable,normal,0.040620787738965235,0.05810832489496679,0.0765252549412415,0.07589066756191959
synthetic,dataset8195,3304,Variable,kde,0.021310922254907542,0.01891471305834611,0.02550508341238901,
synthetic,dataset8199,1594,Uniform,normal,0.0016245400151410495,0.16170539530804817,0.1610124297502475,0.1610345305748424
synthetic,dataset8199,1594,Uniform,kde,1.1351776433623084e-05,0.1436316639030509,0.14363721952594227,
synthetic,dataset8199,1594,Variable,normal,0.00016603247204462318,0.04530134882981738,0.04522245715444235,0.04526848833164769
synthetic,dataset8199,1594,Variable,kde,1.8015746572974577e-05,0.014646025391274516,0.014635048067565383,
synthetic,dataset8204,1996,Uniform,normal,0.044225184716519275,0.1282376700270489,0.15035253178276972,0.14956280787919946
synthetic,dataset8204,1996,Uniform,kde,0.013904442155609526,0.09232476633793855,0.10374784358261213,
synthetic,dataset8204,1996,Variable,normal,0.05349986088088682,0.09346611526647955,0.09579886011477369,0.09509798111546738
synthetic,dataset8204,1996,Variable,kde,0.02175378863488343,0.02103792044238643,0.02406763679375568,
synthetic,dataset8205,2347,Uniform,normal,0.035900191984271676,0.1175718867061907,0.07778544884870973,0.07830795204797082
synthetic,dataset8205,2347,Uniform,kde,0.01030424921055546,0.09791508586462283,0.0877934791106139,
synthetic,dataset8205,2347,Variable,normal,0.022748040900061026,0.07786829452358243,0.08079440286426676,0.0805138800780001
synthetic,dataset8205,2347,Variable,kde,0.0104271211472484,0.025071620967022194,0.021962386304038867,
synthetic,dataset8207,2162,Uniform,normal,0.06599374532723745,0.13384090806466709,0.1311760812177107,0.12993725195464934
synthetic,dataset8207,2162,Uniform,kde,0.014097834747434621,0.026457045388816863,0.020515172305136893,
