arm,dataset,n,"KDE-scott, Uniform","KDE-silverman, Uniform","Logn3p, Uniform","Logn2p, Uniform","Gamma, Uniform","Normal, Uniform","KDE-scott, Variable","KDE-silverman, Variable","Logn3p, Variable","Logn2p, Variable","Gamma, Variable","Normal, Variable"
synthetic,dataset5019,273,0.015433967723452676,0.010736037999617145,0.02177619640088327,0.023217864455135982,0.02216257927375401,0.02351891365108595,0.013317958782553051,0.007414960723208379,0.019414506794471296,0.01995675640695282,0.019721201686624737,0.02197196172975442
synthetic,dataset5035,157,0.14347082347099996,0.0958369327666177,0.1482906571654379,0.1230850562235214,0.17448824964659257,0.42729867246191616,0.1696754716977349,0.052961647956250496,0.12828532534771547,0.1512191153849844,0.17304014053367409,0.46741547236069547
synthetic,dataset5054,655,0.10660269453857021,0.08593650442965403,0.10358606967921263,0.1754234802511935,0.1283115540254804,0.24330108196174238,0.04217222371139087,0.018676378104461988,0.06663032174461696,0.11147975247405979,0.0820051036714233,0.14031939759640535
synthetic,dataset5070,196,0.045421949523700406,0.039396372491677885,0.04503151737552034,0.04588661891500771,0.045430514730386076,0.04832563685819418,0.018925018211912156,0.010757186981308176,0.017416797161771913,0.01808174880466152,0.019303101064710407,0.022765829781727677
synthetic,dataset5076,307,0.2039302796679502,0.18854604502897182,0.17697031022323656,0.2262323272062135,0.177675651612952,0.28683087004613356,0.04855443531554162,0.02967320599162352,0.05005672955485293,0.14944657300660777,0.06736716048477423,0.11630375342111686
synthetic,dataset5094,988,0.08559087023070922,0.0640548109795808,0.11687373890120277,0.13319177733370194,0.15360631718570228,0.30616050120158167,0.07040026679143532,0.01879331167786922,0.1162805832215428,0.11965458264880609,0.1526683562718647,0.3068008481591451
synthetic,dataset5100,365,0.06765565883932753,0.08776235031033272,0.11082516768665768,0.11364247139344394,0.110292825257615,0.25729092281570404,0.1031835418271495,0.04731872705157309,0.07492050921080744,0.06365645594770031,0.10387483496669139,0.2980987429146107
synthetic,dataset5122,270,0.14738596756442462,0.2656446639036124,0.2888279236206518,0.24993005696553916,0.24835144957272473,0.5909431190790375,0.3645049241441499,0.13940113595513567,0.2157459150151313,0.17609907484755402,0.22975492987439708,0.7615607080689047
synthetic,dataset5123,358,0.09405687273656432,0.1048837549309301,0.07687603233391427,0.15475827265468783,0.07184616977977391,0.20415937491559066,0.08430194284817003,0.04937465145807967,0.06276537138057806,0.1251308292236473,0.07405363423908046,0.21779661567670866
synthetic,dataset5135,316,0.15311677508706853,0.14429570804534636,0.14051737760694522,0.19875183325663545,0.1341405024279194,0.20462228728786191,0.04770635628714749,0.03654381046154323,0.04152686894703815,0.2276272821404523,0.07717187669250157,0.10650412054373445
synthetic,dataset5139,696,0.15028100108633743,0.1358496042273096,0.12222411733658217,0.15199649563666434,0.14091375520199367,0.3171192327618235,0.06505044084218216,0.027039300199536067,0.062356199470481155,0.1058448008976581,0.0902263593523388,0.24693198931239108
synthetic,dataset5142,208,0.563551343821469,0.5250854147835846,0.5732089143690487,0.5226670064211586,0.5937560447173701,0.8344369553283388,0.965955543839111,0.14873334920920955,0.4725633871352711,0.3162547737090061,0.49573614992948034,1.479549486540978
synthetic,dataset5168,133,0.08848402901486344,0.09249280210007316,0.10840407789386379,0.11395920521551911,0.12104011831043224,0.24749277474636838,0.12373467097212511,0.05127573411178882,0.11175741980569713,0.13392942647220166,0.13996639477121992,0.31200115251544464
synthetic,dataset5187,339,0.07665545298422388,0.06822083660215393,0.05914966026054992,0.1845995495345309,0.07051405597442702,0.12741488901267198,0.044881620776221945,0.03552419320235043,0.0345558992998749,0.22094812620583482,0.08116434861866752,0.08731524405637292
synthetic,dataset5189,373,0.1360364947097466,0.11755692930514602,0.18340031339591492,0.15909571708089823,0.20970440384880515,0.5400767200676627,0.2389307200124912,0.044327838910786864,0.20631300341404846,0.21954396376107016,0.2562779452836649,0.8386960550740612
synthetic,dataset519,8,0.47140953496474214,0.46645608921335346,0.5353185351681626,0.48427417681866913,0.4668351268591748,0.4398461029160753,0.20350583267988653,0.1822718188225249,0.18461830908332327,0.24315666502345626,0.21417495411673343,0.18452052481488518
synthetic,dataset5194,759,0.01760715119431341,0.016619488076086084,0.042391567754560676,0.09386332819822539,0.05549525077294522,0.04502234538461651,0.02173906710745503,0.016339771570892052,0.03847600315934971,0.1140833950251346,0.06347792496195812,0.048391260299712566
synthetic,dataset521,4,0.4587447797134585,0.5081320207611986,0.6130336888666775,0.5594966155869571,0.5188315858423898,0.42731745261870285,0.34879142259786167,0.29100452305301877,0.3481487419531252,0.4653366134634809,0.3939086277792214,0.3480560603229913
