dataset,n,n_near_zero,min_over_mean,has_near_zero,w1_2p,w1_offset,w1_2p_drop_near_zero,w1_offset_drop_near_zero,offset_gain,offset_gain_pct,offset_gain_dropped
DampproofingAndWaterproofing,162,0,0.018342513965041832,False,0.3666430966482076,0.5529853003978626,0.3666430966482076,0.5529853003978626,-0.18634220374965504,-50.82386807583876,-0.18634220374965504
DataCabling,951,35,0.0002546129796638067,True,0.2787670470633321,0.5287562795195214,0.28104418212240195,0.5313392319552984,-0.24998923245618931,-89.67675164252651,-0.25029504983289647
DeckingBoards,7,0,0.43005126709214037,False,0.14494029384511092,0.14554057007509363,0.14494029384511092,0.14554057007509363,-0.0006002762299827102,-0.414154141721411,-0.0006002762299827102
DeckingSteel,62,0,0.3575129335911291,False,0.0567859742092974,0.0433761968911586,0.0567859742092974,0.0433761968911586,0.013409777318138805,23.614594105076144,0.013409777318138805
DemountablePartitionTrack,4,0,0.22052437424408208,False,0.3544383004852813,0.275354417730208,0.3544383004852813,0.275354417730208,0.07908388275507328,22.312454000257624,0.07908388275507328
DemountablePartitions,45,0,0.09190501550327823,False,0.3119001967066531,0.15837082982749268,0.3119001967066531,0.15837082982749268,0.1535293668791604,49.2238762592244,0.1535293668791604
DoorsAndFrames,61,0,0.054779801824531245,False,0.09670344970718911,0.11750624805569297,0.09670344970718911,0.11750624805569297,-0.020802798348503862,-21.511950619645106,-0.020802798348503862
Electrical,3,0,0.9876550258703461,False,0.0034825303854900368,0.003490227869815575,0.0034825303854900368,0.003490227869815575,-7.697484325538094e-06,-0.22103136149535588,-7.697484325538094e-06
Elevators,20,7,8.512988492906121e-05,True,0.7471000600050515,0.5480692212714541,0.8223275460554789,0.8325778605032474,0.1990308387335974,26.640452783828135,-0.010250314447768583
FenestrationAccessories,17,4,0.002160722559710275,True,0.7394081838902471,0.37734447024844286,0.5285588626370582,0.5832645900973362,0.36206371364180423,48.96669005431871,-0.05470572746027802
FenestrationFraming,259,0,0.02938750359070584,False,0.21072854994901247,0.14094185263308737,0.21072854994901247,0.14094185263308737,0.0697866973159251,33.116868754998116,0.0697866973159251
FiberCementSiding,29,0,0.4990136134935279,False,0.07057703541726142,0.0748287652999854,0.07057703541726142,0.0748287652999854,-0.004251729882723987,-6.02423983607013,-0.004251729882723987
FireAndSmokeProtection,22,0,0.10567452519638515,False,0.2505046634050839,0.26375699724700113,0.2505046634050839,0.26375699724700113,-0.013252333841917208,-5.290254345679481,-0.013252333841917208
FlashingAndSheetMetal,12,0,0.2160696999031946,False,0.38467672275184817,0.4784488222358221,0.38467672275184817,0.4784488222358221,-0.09377209948397391,-24.376858265080294,-0.09377209948397391
