dataset,n,x1.0,x0.75,x0.5,x0.35,x0.25,x0.15,x0.1,x0.05,x0.02,x0.01
FireAndSmokeProtection,22,0.3603051201140942,0.26369729001359815,0.1679125872835398,0.11468118086213205,0.0814557023549045,0.050720997088261915,0.03608179438843396,0.021432366688915433,0.009975755921403592,0.01146110783040827
FlashingAndSheetMetal,12,0.660109419205344,0.4832622583423673,0.30239108665743897,0.19513731942571738,0.1286637363449775,0.07489595668286862,0.050670742483868755,0.02900250688935074,0.013900669812315466,0.014883663213297567
FlatGlassPanes,47,0.1894164891156891,0.13642330888510895,0.08574551496301562,0.058020373365288494,0.04351965098446779,0.030232992183993918,0.022535357638852834,0.01422903679351318,0.010248202167409994,0.07872039899079938
FlowableFill,2008,0.06118083554809368,0.03879714454289583,0.020903233371464276,0.013342428796545064,0.009448749402983094,0.006645773885548555,0.0057128351464218645,0.00499386321463693,0.018321309433528638,0.052102571395274154
FoamedInPlace [PIR or PUR],8,0.6888483953701938,0.5445353934593421,0.3659800365870117,0.2592728812319861,0.19150859297176276,0.11979871434055281,0.08216785858965256,0.04262239730093589,0.01715909829343888,0.009694406795761482
FoamedInPlace [type not stated],5,0.051817064348171946,0.040622061371970955,0.02910603397956939,0.02194315405927923,0.016910121780757015,0.011183976236375001,0.007665563124173602,0.003852959566125869,0.0015565559228462732,0.0035473704071666244
Furnishings,7,0.1298159387574236,0.10530015367523377,0.07558822514697178,0.055827139232433515,0.04240896107679168,0.02747694003079102,0.018618472536782952,0.009399415479299948,0.00371630957911317,0.0016904493676788688
GlazedDoors,141,0.2130458724335875,0.1440827190969987,0.0836926044308905,0.05588042015082798,0.04182723375940173,0.02925072094593891,0.023101718547710044,0.01592908304903127,0.008675999759159485,0.05513499332444989
Grouting,219,1.6186700793573707,1.256642429485347,0.8886697337003702,0.658560313305063,0.4968480866567717,0.32642047613582836,0.23967814982563185,0.14924147091260845,0.12753391952482246,0.5175057755539108
Gypsum,771,0.042483375849534,0.027583830011566723,0.01673661426660544,0.011713051371774249,0.008831620030733497,0.006563002447647452,0.005596925315313311,0.0045893954236602245,0.01454103233373035,0.060964394268027945
GypsumSheathingBoard,19,0.07554228023362257,0.05889958568392409,0.04640435816661749,0.04061311560517132,0.03529242617542535,0.024941896750312855,0.01773258952579785,0.009384174288289474,0.0039746100837756235,0.0036832732241029397
HeavyTimber,5,0.5114549341073915,0.4172755861518789,0.29726963254768224,0.20861571482152896,0.14089014034673786,0.07459924818051669,0.04755959774422225,0.02605031471089944,0.01108380759335735,0.005255380630156701
Hollow,145,0.052021319132712726,0.0381292232293485,0.026076652405213598,0.01936880352579158,0.014885265267887185,0.01013998876116147,0.007523162457534957,0.005027471011433594,0.0030540129311906676,0.03821779192843887
HotRolled,81,0.19396235915088544,0.13087850629802847,0.07566402986506604,0.04869635916583625,0.03618340380426381,0.02685073348509271,0.02167349069311937,0.013447189335997912,0.006500979447239033,0.028090581757424304
InsulatedRoofPanels,271,0.022998961606566302,0.01566030602127742,0.010617746264518299,0.008351575358932122,0.006937953881755806,0.0051479767225835514,0.004043029940941294,0.0027385449924506116,0.0028289988448919052,0.02488023750151585
InsulatedWallPanels,420,0.018770249243559144,0.012817859036843116,0.008036965573797242,0.0060055788457765,0.005044069360602914,0.004040311821102809,0.003360042049124952,0.0024967360746374185,0.005654524942923905,0.0164307635723958
InsulatingGlazingUnits,32,0.2688966341496576,0.20170139896714967,0.13564077379513306,0.09348862738370356,0.06634807373249392,0.03973749808379343,0.026674307375725816,0.014845118922279257,0.006725030038337924,0.016610616925303794
JointProtection,5,0.17115795632579464,0.13876570537286426,0.1035676251074657,0.0822482538889365,0.06663313090545817,0.04531352563880893,0.031209919601262813,0.015677535717864746,0.006281792077227736,0.0034378111241880095
Laminate,26,0.15941895711994578,0.11480795066706337,0.07659264910139081,0.05642521899497969,0.04477945649935258,0.03309487658556322,0.026155400806048085,0.015602645119832845,0.006727326242249797,0.011530410264129973
MBQ,40,0.171162502077699,0.12048855446038519,0.07074963787712657,0.04656075038477088,0.03404181411153737,0.021695970196619705,0.01512146742088679,0.008882481671772392,0.004757770064044348,0.03277433107648792
MasonryCement,26,0.05663860313480173,0.039727455331501564,0.027222192762325164,0.021167826336461165,0.016960374762738765,0.0120894695044657,0.008775025524788831,0.0047133228372491605,0.0023762787555813058,0.023839888662865176
MassTimber,66,0.19313239053990694,0.12833709953261008,0.07175939742732337,0.04457108132588547,0.031932920531188624,0.0221358414086903,0.017515653886789086,0.0118262420667282,0.006217816897110238,0.036061632443324505
MechanicalInsulation,22,0.30793780183791475,0.2362407112341907,0.17674409381916567,0.1394101105478418,0.10876544827210961,0.06987329650726144,0.04845407093951074,0.02719818070758779,0.01209771455020861,0.010902202837267384
MetalDoorAndFrames,42,0.14545825113131594,0.11176523424026641,0.07581728493890039,0.05511454657717239,0.041431986666933714,0.02652579952839243,0.018957351306523432,0.011158634000046946,0.005479597483684071,0.023933442016385458
MetalRailings,13,0.17042317397740708,0.12343380939943607,0.08036953754141532,0.05962048410059167,0.046216866952355884,0.03136933836723921,0.023021085054863725,0.012988809504064723,0.005764561433639425,0.007132994493520723
MetalStairs,5,0.10901018074652727,0.08404344473232937,0.0547632665875254,0.03653468466825617,0.02488551516081553,0.0148138995367652,0.010965620412929472,0.006539531048501119,0.002701116379877641,0.00336700175853287
Mirrors,19,0.09839574785023122,0.07948101169930376,0.05957330858848178,0.0455095638227766,0.03579796677706441,0.025848526205982603,0.019882993388548917,0.011148194273894215,0.004522936070059086,0.004102493797204091
MiscMetalFabrication,69,0.1184146413424235,0.09320772157132537,0.06412268409432295,0.04438410549806283,0.03128635557437644,0.0200251539841554,0.014759591369827253,0.00858181304652218,0.004460620055439051,0.027158540478416215
Mortar,248,0.38295461480992815,0.2662889634180436,0.1588578308443755,0.10066160520844358,0.06625844932744457,0.03832813928637613,0.027718330539411078,0.01925993115933337,0.015151057343306495,0.07999746821532079
NetworkingCableTrays,22,0.13991061965767362,0.11145284755422116,0.08225320584682091,0.06442390381852353,0.0505879281867027,0.034060127247234555,0.024096769082477605,0.013241119204123237,0.005787008581785363,0.005277674604241664
NetworkingRaceways,32,0.531138444402274,0.4225993276792541,0.3119449004177762,0.2465390784728207,0.20575407097872445,0.16557567302718443,0.14033494278198527,0.10302417428665706,0.061610464452932556,0.025358047749655742
NonStructuralWood,57,0.06608706189881056,0.052847802718623264,0.04289239103807427,0.03610686127295476,0.029602830514877245,0.021151682850863045,0.015641544489641977,0.008690585452103735,0.007816000787457845,0.06299161030409493
OilPatch,282,0.21486000791924376,0.14128598081632632,0.07942134704941876,0.0523900223128021,0.03918703268761227,0.025897303164944003,0.018465312380990327,0.010939180858333064,0.009065596427628659,0.05331974744600114
OpenWebMembranes,17,0.0553460035577288,0.04337763558222385,0.0315339542008744,0.02424538594666511,0.018885641413739374,0.01217834376838839,0.008150005303034127,0.00421554040390475,0.003332429734742863,0.03298336916213331
Openings,12,0.28916590780398116,0.24748985063300222,0.20615434316950332,0.17916861325884917,0.1592496927199051,0.14060878835309037,0.13062517767016824,0.1182706742854269,0.10664301382170421,0.09060709960906696
OtherFlooring,217,0.15732072726643187,0.11990993641949615,0.08414417547119582,0.061461460086847566,0.044429961054038916,0.0265230711769798,0.018442331042720965,0.012217861973620969,0.007801134375761583,0.05149646361357994
PaintingAndCoating,19,0.28190782782990254,0.19507971430053692,0.12792742332195228,0.10148392194688236,0.08433335181950434,0.060964477565362676,0.04510839086955186,0.026266012925936347,0.013510222067803156,0.05805911943921037
PlateSteel,72,0.06581684477911824,0.049330781491071896,0.031989944730389366,0.022242417505681615,0.016375970812435706,0.011937496737669955,0.00955593046120813,0.0062219258959650145,0.013018108864067787,0.044650953660892036
PostTensioningSteel,35,0.020758887164977195,0.01587235871814381,0.01130223173163863,0.008783828513827927,0.007001601591674719,0.004860358060290496,0.0036315511071334065,0.002154465084951229,0.001105953710960661,0.00866645965713116
PowerCabling,400,4.3570873215527,3.4593913657408586,2.569955919876247,2.0492730211100945,1.7198463019723564,1.4379841921914833,1.3657178598054687,1.6509620748782285,1.8313240867098806,1.1602270572594966
PrecastConcrete,499,0.03418131909984273,0.02300112901018153,0.014319913881217424,0.01033695454872207,0.007920925550802385,0.005321421846073539,0.004030574368167756,0.0027343681705678724,0.0041843127311032525,0.017017448325077657
ProcessedNonInsulatingGlassPanes,130,0.4919724343377241,0.3901574516854299,0.28992681043563484,0.22802463379539104,0.1840506870202796,0.13725170909368595,0.11163483948758732,0.07669350420287126,0.05130630003380667,0.13156630865143742
ReadyMix [3000-3999 psi],20814,0.0035374023689257977,0.0025451268193521707,0.0019527966418928563,0.0016981117416387658,0.0015560228670356028,0.001448741385511615,0.001410819102448009,0.001415168144123828,0.005089325842738591,0.009114247370901213
ReadyMix [4000-4999 psi],31025,0.0028590917888278956,0.002083689823450031,0.0016510557804048469,0.0015236722806155178,0.001468676018580329,0.0014313149123845663,0.0014195976525030855,0.0014700289147227714,0.0033608793745777414,0.005769451016410236
ReadyMix [5000-5999 psi],14366,0.003716062112603385,0.0025442399620091553,0.001823703082835918,0.0015856934798607128,0.001480420343678937,0.001398275550053273,0.0013611607842548342,0.0013376353590102055,0.002448320993702441,0.006110458732869672
ReadyMix [<3000 psi],3974,0.007933331962871043,0.005239899723477461,0.0033730488464007546,0.002647473675902084,0.0022973667319509763,0.002018537692417169,0.0018660344253273312,0.0016737532106199703,0.004499554020827232,0.011284528652249524
ReadyMix [>=6000 psi],7887,0.0048726079358259265,0.003355574839376421,0.002313533578938611,0.0019244681982097393,0.0017416322919475648,0.0016067225227447413,0.0015508791755484083,0.0014985628337337675,0.0031558925413438213,0.007633929328348415
ReadyMix [strength not stated],8777,0.00989408404760497,0.006733299265087073,0.004604697684121891,0.003804399400589317,0.0034613042273108677,0.0032378722954538443,0.0031575335846273237,0.003262144478384676,0.01402104896560145,0.023026729137469913
RebarSteel,204,0.13777309926510078,0.09025289425121658,0.05057454120266511,0.033630621217174736,0.025184330436317782,0.017450786958544434,0.013813322024384685,0.009327871886600558,0.007006100247237222,0.04202386405653609
ResilientFlooring,468,0.13766022690086807,0.08908547269646513,0.04806315186613512,0.02932877558151133,0.019849404626011508,0.013045034447804919,0.010160714016706717,0.007108429937683411,0.006019361432435148,0.03489428407872722
RoofCoverBoards,20,0.06212566559303891,0.045064744731225626,0.02847290483575756,0.01957528696876981,0.014594278917243509,0.01035904301997094,0.007805451685537559,0.004333798781473755,0.0019971504895966463,0.002993930548746514
RoofPanels,61,0.1557893837388853,0.11117283912709142,0.07095059979783706,0.05087727649177136,0.039518796785972504,0.029086972670380216,0.022580168841580102,0.013206576255030227,0.006064738954546567,0.019369840082370013
SheathingPanels,71,0.2084589400619517,0.14701780172161694,0.09191816058327001,0.06278009361497924,0.04528969293358412,0.028647296171723367,0.020130253288788334,0.012013559078049603,0.006397767420570728,0.031887378926659174
Shotcrete [3000-3999 psi],183,0.018342400424748682,0.01336142077663972,0.009714407623806348,0.007599649856214734,0.006122171516008022,0.004499224894017852,0.0035271366564199624,0.0023778487145464646,0.0014741584885779914,0.010668952696742335
Shotcrete [4000-4999 psi],651,0.009239445137645453,0.006755370547856765,0.004681742299541162,0.0035748072046588365,0.002903688852953468,0.002156677627318848,0.0017172704344828621,0.0012886043788899008,0.0022897300615923053,0.010268371128450077
Shotcrete [5000-5999 psi],471,0.011829094676128549,0.008283916456047126,0.005389695125495226,0.004007780306836249,0.0032909882587431848,0.0025903896484164206,0.0021425379758216283,0.001560696706772129,0.001353402819581556,0.005596748620075908
