arm,dataset,family,status,sigma,model_mean,model_sd,w1
empirical,CMU [>=6000 psi],lognormal_offset,,0.13129263196858101,1.0067286803027173,0.19904380345164813,0.07006162556066636
empirical,CMU [>=6000 psi],lognormal_3p,boundary_normal_limit,0.0009982491691064009,1.0063945793848466,0.1913539316515443,0.06482343969746326
empirical,CMU [strength not stated],lognormal_offset,,0.13953471983761784,0.9385607992295001,0.2020968423503146,0.04060586950907147
empirical,CMU [strength not stated],lognormal_3p,interior,0.4141007488132673,0.9393952466164514,0.21765786766956285,0.03852652886795189
empirical,CableTrays,lognormal_offset,,0.6548783649442024,1.0470320721285833,1.1094316137087783,0.22632749111177755
empirical,CableTrays,lognormal_3p,boundary_guard,1.7041654040781478,2.043038075272553,71.05806378460198,0.4408717635098563
empirical,Carpet,lognormal_offset,,0.29846524815127395,1.0006806646858546,0.4601138359157682,0.047885691670383077
empirical,Carpet,lognormal_3p,interior,0.42666716239086905,1.0032747057897506,0.4925271695690214,0.04348659897688039
empirical,CastDecksAndUnderlayment,lognormal_offset,,0.1979151184199797,1.0077892056373925,0.30214951521403155,0.02798078537196166
empirical,CastDecksAndUnderlayment,lognormal_3p,interior,0.43623320726011994,1.0102727449962239,0.33408209596363464,0.025990790239923203
empirical,Cement,lognormal_offset,,0.27655645588872246,0.990773224951286,0.4220209045034079,0.04893931069770843
empirical,Cement,lognormal_3p,interior,0.2500183152953044,0.990413872847609,0.4168759959751634,0.046148067840393873
empirical,CementBoard,lognormal_offset,,0.31304703542826245,0.9854151483641919,0.4787613128250712,0.0966206078812284
empirical,CementBoard,lognormal_3p,interior,0.41573624282930927,0.9871879017491677,0.5052275253523021,0.0878735598170856
empirical,CementGrout,lognormal_offset,,0.21775572728571732,0.9970930563883279,0.3308722510506054,0.05431052236347919
empirical,CementGrout,lognormal_3p,interior,0.35306108251826035,0.9971589614431039,0.3406511675853481,0.03552005008876637
empirical,CementitiousSheathingBoard,lognormal_offset,,0.5274723060256603,1.0813468914777695,0.8890326330189643,0.10723768136652258
empirical,CementitiousSheathingBoard,lognormal_3p,interior,0.7116595103981739,1.085656810909106,1.1363968693736632,0.1178044996638488
empirical,Chairs,lognormal_offset,,0.7277135923337347,0.8363955131047437,1.0435033428706046,0.4566891945668153
empirical,Chairs,lognormal_3p,boundary_guard,1.7976935123935012,1.102279305818899,48.76582723601602,0.4304363959239074
empirical,Coil,lognormal_offset,,0.4339079919338025,1.0591892513227366,0.7102819487463775,0.09642909793345433
empirical,Coil,lognormal_3p,interior,0.4837246105820356,1.05892659141677,0.7410900388476044,0.09786343683664676
empirical,CompositeLumber,lognormal_offset,,0.17428496403523513,1.0624990385124047,0.2750339483570715,0.06077201141209987
empirical,CompositeLumber,lognormal_3p,interior,0.32732043160552254,1.0631845783920266,0.287277022007187,0.0604045102142377
empirical,CompositionSiding,lognormal_offset,,0.5061859905116461,1.1197227063259965,0.8733061524551089,0.4780139084511702
empirical,CompositionSiding,lognormal_3p,boundary_normal_limit,0.000998904527927572,1.1106916834869924,0.5464483326266989,0.3442702888129965
empirical,ConcreteAdmixtures,lognormal_offset,,0.4767114116927655,0.7072934270081757,0.5798455079810635,0.1900845602856277
