arm,dataset,n,pewt,w1_stage1,w1_open_grid,w1_truncated,w1_stage2b,lognormal_status
synthetic,dataset3986,16,"Lognormal, Variable",0.15300453408058415,0.1539589449273576,0.1539589449273576,0.43422584909604084,boundary_guard
synthetic,dataset3986,16,"KDE, Uniform",0.4541910333849936,0.4558772922275667,0.45587729222756684,0.45587729222756684,
synthetic,dataset3986,16,"KDE, Variable",0.19504370598047238,0.19771326237172493,0.19771326237172493,0.19771326237172493,
synthetic,dataset3989,99,"Normal, Uniform",0.14001642641171433,0.1402126102484813,0.1402126102484813,0.1402126102484813,
synthetic,dataset3989,99,"Normal, Variable",0.08435953703147912,0.08441059530795753,0.08441059530795769,0.08441059530795769,
synthetic,dataset3989,99,"Lognormal, Uniform",0.1259939398230285,0.1260925423808821,0.12609254238088224,0.12440338734688555,interior
synthetic,dataset3989,99,"Lognormal, Variable",0.05736956777272088,0.0573905503486637,0.0573905503486637,0.059612593922296904,interior
synthetic,dataset3989,99,"KDE, Uniform",0.14961886877713243,0.14976232781237142,0.1497623278123715,0.1497623278123715,
synthetic,dataset3989,99,"KDE, Variable",0.05495865726796478,0.05498917582807152,0.05498917582807155,0.05498917582807155,
synthetic,dataset3990,95,"Normal, Uniform",0.2062601720548044,0.2037898403837664,0.20378984038376657,0.20378984038376657,
synthetic,dataset3990,95,"Normal, Variable",0.1721157864936994,0.17202732079375482,0.1720273207937551,0.1720273207937551,
synthetic,dataset3990,95,"Lognormal, Uniform",0.2880804350728592,0.2873674059722265,0.2873674059722276,0.28877073127859676,interior
synthetic,dataset3990,95,"Lognormal, Variable",0.08457334619753308,0.08455470239588424,0.08455470239588427,0.07868212408889319,interior
synthetic,dataset3990,95,"KDE, Uniform",0.2548945103080348,0.25291399850054197,0.25291399850054197,0.25291399850054197,
synthetic,dataset3990,95,"KDE, Variable",0.1117988906113675,0.11148786556279237,0.11148786556279282,0.11148786556279282,
synthetic,dataset3991,26,"Normal, Uniform",0.012768371292595266,0.012774537300845176,0.012774537300845133,0.012774537300845133,
synthetic,dataset3991,26,"Normal, Variable",0.0043285975974918425,0.004335148175656204,0.004335148175656202,0.004335148175656202,
synthetic,dataset3991,26,"Lognormal, Uniform",0.01248476732631075,0.012490654703821201,0.012490655614630407,0.010155907750690234,interior
synthetic,dataset3991,26,"Lognormal, Variable",0.004234386152726458,0.004238515720496103,0.004238515788313317,0.0030768890718027393,interior
synthetic,dataset3991,26,"KDE, Uniform",0.014082072636971444,0.014080911810095352,0.014080911810095353,0.014080911810095353,
synthetic,dataset3991,26,"KDE, Variable",0.004073652510046785,0.004065406039383874,0.004065406039383877,0.004065406039383877,
synthetic,dataset3992,12,"Normal, Uniform",0.09032606004214914,0.09032507272864454,0.09032507272864454,0.09032507272864454,
synthetic,dataset3992,12,"Normal, Variable",0.0903413141565913,0.09034202044721396,0.09034202044721394,0.09034202044721394,
synthetic,dataset3992,12,"Lognormal, Uniform",0.12180431412433736,0.12180810491604425,0.12180810491604425,0.09040051265003414,boundary_normal_limit
synthetic,dataset3992,12,"Lognormal, Variable",0.12547858379603632,0.12547805176818028,0.12547805176818028,0.09042232150981744,boundary_normal_limit
synthetic,dataset3992,12,"KDE, Uniform",0.08445107396685098,0.08436660436500953,0.0843666043650095,0.0843666043650095,
synthetic,dataset3992,12,"KDE, Variable",0.09298240275117074,0.09284455982911491,0.09284455982911491,0.09284455982911491,
synthetic,dataset4001,22,"Normal, Uniform",0.42132798613407774,0.4207135543564198,0.4207135543564205,0.4207135543564205,
synthetic,dataset4001,22,"Normal, Variable",0.10364943794469003,0.10351788869966567,0.1035178886996658,0.1035178886996658,
synthetic,dataset4001,22,"Lognormal, Uniform",0.29423446652555524,0.2938950775280881,0.2938950775280881,0.3018383117685895,interior
synthetic,dataset4001,22,"Lognormal, Variable",0.09891132429239191,0.09890816903815663,0.09890816903815663,0.0916955304466352,interior
synthetic,dataset4001,22,"KDE, Uniform",0.3913141113056965,0.3903906138144885,0.3903906138144885,0.3903906138144885,
synthetic,dataset4001,22,"KDE, Variable",0.09667979665018106,0.09628422435532986,0.09628422435533027,0.09628422435533027,
synthetic,dataset4007,14,"Normal, Uniform",0.027058635158230194,0.02705566905459193,0.027055669054591867,0.027055669054591867,
synthetic,dataset4007,14,"Normal, Variable",0.02640559692298347,0.026407020071206676,0.026407020071206676,0.026407020071206676,
synthetic,dataset4007,14,"Lognormal, Uniform",0.026982488494816267,0.02697846224369109,0.026978462243691246,0.02731401024932235,interior
synthetic,dataset4007,14,"Lognormal, Variable",0.025962752633659308,0.025966878711839926,0.025966878711839926,0.025861395887740828,interior
synthetic,dataset4007,14,"KDE, Uniform",0.025185483823909248,0.025181340214857198,0.02518134021485722,0.02518134021485722,
synthetic,dataset4007,14,"KDE, Variable",0.028904864041816136,0.028903102599235966,0.028903102599235963,0.028903102599235963,
synthetic,dataset4016,17,"Normal, Uniform",0.025973888650494333,0.02597282250008097,0.025972822500080935,0.025972822500080935,
