realization,dataset,n,method,w1,rank
0,BoardInsulation [XPS],19,"Normal, Uniform",0.701920810625261,5.0
0,BoardInsulation [XPS],19,"Normal, Variable",0.9352773302888863,6.0
0,BoardInsulation [XPS],19,"Lognormal, Uniform",0.4578813384038517,3.0
0,BoardInsulation [XPS],19,"Lognormal, Variable",0.4329932238160248,2.0
0,BoardInsulation [XPS],19,"KDE, Uniform",0.40534723224882413,1.0
0,BoardInsulation [XPS],19,"KDE, Variable",0.7011731060787791,4.0
0,BoardInsulation [mineral wool],77,"Normal, Uniform",0.18802574596606103,6.0
0,BoardInsulation [mineral wool],77,"Normal, Variable",0.16196701961270002,5.0
0,BoardInsulation [mineral wool],77,"Lognormal, Uniform",0.058844494618917005,4.0
0,BoardInsulation [mineral wool],77,"Lognormal, Variable",0.0545448295819298,3.0
0,BoardInsulation [mineral wool],77,"KDE, Uniform",0.05448374204318407,2.0
0,BoardInsulation [mineral wool],77,"KDE, Variable",0.0491960159390471,1.0
0,BoardInsulation [other],7,"Normal, Uniform",0.24828868613190275,5.0
0,BoardInsulation [other],7,"Normal, Variable",0.23964097922361005,2.0
0,BoardInsulation [other],7,"Lognormal, Uniform",0.26263138993833407,6.0
0,BoardInsulation [other],7,"Lognormal, Variable",0.24781198565497586,4.0
0,BoardInsulation [other],7,"KDE, Uniform",0.2403914350564445,3.0
0,BoardInsulation [other],7,"KDE, Variable",0.21392064537323224,1.0
0,BoardInsulation [type not stated],131,"Normal, Uniform",0.4599881682277902,6.0
0,BoardInsulation [type not stated],131,"Normal, Variable",0.28446706278300676,4.0
0,BoardInsulation [type not stated],131,"Lognormal, Uniform",0.2610175363185288,3.0
0,BoardInsulation [type not stated],131,"Lognormal, Variable",0.09194549006252184,2.0
0,BoardInsulation [type not stated],131,"KDE, Uniform",0.3354787833171225,5.0
0,BoardInsulation [type not stated],131,"KDE, Variable",0.058790727920367714,1.0
0,Brick,215,"Normal, Uniform",0.8619116281368646,5.0
0,Brick,215,"Normal, Variable",1.0240140108073754,6.0
0,Brick,215,"Lognormal, Uniform",0.27908438271978847,3.0
0,Brick,215,"Lognormal, Variable",0.30462596832918376,4.0
0,Brick,215,"KDE, Uniform",0.0773711825354724,2.0
0,Brick,215,"KDE, Variable",0.0371087916023417,1.0
0,CMU [3000-3999 psi],137,"Normal, Uniform",0.057146675115183176,6.0
0,CMU [3000-3999 psi],137,"Normal, Variable",0.04943787736282617,5.0
0,CMU [3000-3999 psi],137,"Lognormal, Uniform",0.04235875832137028,4.0
0,CMU [3000-3999 psi],137,"Lognormal, Variable",0.03690901833364038,2.0
0,CMU [3000-3999 psi],137,"KDE, Uniform",0.0413801139150274,3.0
0,CMU [3000-3999 psi],137,"KDE, Variable",0.022073369760850635,1.0
0,CMU [4000-4999 psi],18,"Normal, Uniform",0.07694956578822787,6.0
0,CMU [4000-4999 psi],18,"Normal, Variable",0.06812202973091219,5.0
0,CMU [4000-4999 psi],18,"Lognormal, Uniform",0.06742589077046891,4.0
0,CMU [4000-4999 psi],18,"Lognormal, Variable",0.05779681604069803,2.0
0,CMU [4000-4999 psi],18,"KDE, Uniform",0.0572938772648329,1.0
0,CMU [4000-4999 psi],18,"KDE, Variable",0.06674813431434429,3.0
0,CMU [5000-5999 psi],8,"Normal, Uniform",0.03598593484772146,4.0
0,CMU [5000-5999 psi],8,"Normal, Variable",0.0346489739208372,2.0
0,CMU [5000-5999 psi],8,"Lognormal, Uniform",0.03515966244989027,3.0
0,CMU [5000-5999 psi],8,"Lognormal, Variable",0.034370095889118504,1.0
0,CMU [5000-5999 psi],8,"KDE, Uniform",0.04139855170726886,5.0
0,CMU [5000-5999 psi],8,"KDE, Variable",0.04254257596618552,6.0
0,CMU [<3000 psi],274,"Normal, Uniform",0.07976694793216765,6.0
0,CMU [<3000 psi],274,"Normal, Variable",0.07862305293612276,5.0
0,CMU [<3000 psi],274,"Lognormal, Uniform",0.034646908775735556,3.0
0,CMU [<3000 psi],274,"Lognormal, Variable",0.03484933345990968,4.0
0,CMU [<3000 psi],274,"KDE, Uniform",0.0241925180484366,1.0
0,CMU [<3000 psi],274,"KDE, Variable",0.02487120519956937,2.0
0,CMU [>=6000 psi],8,"Normal, Uniform",0.08168254041451738,5.0
0,CMU [>=6000 psi],8,"Normal, Variable",0.058317287621577216,1.0
0,CMU [>=6000 psi],8,"Lognormal, Uniform",0.08059475048584369,4.0
0,CMU [>=6000 psi],8,"Lognormal, Variable",0.058461115402597616,2.0
0,CMU [>=6000 psi],8,"KDE, Uniform",0.10314739844468983,6.0
0,CMU [>=6000 psi],8,"KDE, Variable",0.07292952632681704,3.0
0,CMU [strength not stated],39,"Normal, Uniform",0.10251593480638294,6.0
0,CMU [strength not stated],39,"Normal, Variable",0.060596695391761254,3.0
0,CMU [strength not stated],39,"Lognormal, Uniform",0.0839016686116217,4.0
0,CMU [strength not stated],39,"Lognormal, Variable",0.04690422117329371,1.0
0,CMU [strength not stated],39,"KDE, Uniform",0.08704538136777165,5.0
0,CMU [strength not stated],39,"KDE, Variable",0.05243929380927939,2.0
0,CableTrays,59,"Normal, Uniform",0.6502733453495155,5.0
0,CableTrays,59,"Normal, Variable",0.7731772774133235,6.0
0,CableTrays,59,"Lognormal, Uniform",0.23246209564375214,2.0
0,CableTrays,59,"Lognormal, Variable",0.2549422662452819,3.0
0,CableTrays,59,"KDE, Uniform",0.16787518653647798,1.0
0,CableTrays,59,"KDE, Variable",0.48368740806262966,4.0
0,Carpet,1989,"Normal, Uniform",0.0919278592984455,6.0
0,Carpet,1989,"Normal, Variable",0.08592337002255954,5.0
0,Carpet,1989,"Lognormal, Uniform",0.041860329885644074,4.0
0,Carpet,1989,"Lognormal, Variable",0.038718464483363274,3.0
0,Carpet,1989,"KDE, Uniform",0.0255556737993273,2.0
0,Carpet,1989,"KDE, Variable",0.013350757134855274,1.0
0,CastDecksAndUnderlayment,255,"Normal, Uniform",0.04219832588422608,5.0
0,CastDecksAndUnderlayment,255,"Normal, Variable",0.044691558417318665,6.0
0,CastDecksAndUnderlayment,255,"Lognormal, Uniform",0.03427137790237829,4.0
0,CastDecksAndUnderlayment,255,"Lognormal, Variable",0.02113166455214478,2.0
0,CastDecksAndUnderlayment,255,"KDE, Uniform",0.029032168179943023,3.0
0,CastDecksAndUnderlayment,255,"KDE, Variable",0.019682192733400657,1.0
