dataset,n,naive_gap_over_sd,naive_sigma,naive_w1,profile_status,profile_gap_over_sd,profile_sigma,profile_w1
CMU [5000-5999 psi],8,4.923380191065242,0.14850751663740103,0.03036768582920859,interior,4.945789053120642,0.14799560730470368,0.030369379677211733
CMU [<3000 psi],274,0.6613637924873058,0.36547124747150045,0.032192960451184784,interior,0.6562096406767561,0.36629552026765566,0.03214493543501182
CMU [>=6000 psi],8,64688.244420585805,1.5457820569613663e-05,0.06479158426807471,boundary_normal_limit,1000.0,0.0009982491691064009,0.06482343969746326
CMU [strength not stated],39,0.6435602659017701,0.4128355895054586,0.038503430037831576,interior,0.6375456372456508,0.4141007488132673,0.03852652886795189
CableTrays,59,0.0023982405603663777,1.9651060328095142,0.543345560625298,boundary_guard,0.01,1.7041654040781478,0.4408717635098563
Carpet,1989,0.40154965708628826,0.42672180900374573,0.04348694690594556,interior,0.40180008571820935,0.42666716239086905,0.04348659897688039
CastDecksAndUnderlayment,255,0.7369752841138044,0.43612258534004256,0.02598440317373427,interior,0.7364918067322969,0.43623320726011994,0.025990790239923203
Cement,1084,1.779829451828148,0.251582833427208,0.0462854061598244,interior,1.8015200408020247,0.2500183152953044,0.046148067840393873
CementBoard,21,0.7775386374195308,0.41631571001236395,0.08783775618587632,interior,0.7802442493165049,0.41573624282930927,0.0878735598170856
CementGrout,3764,0.4442889289301565,0.35206273910377656,0.03562357458190107,interior,0.4381310274533304,0.35306108251826035,0.03552005008876637
CementitiousSheathingBoard,51,0.2891944348979717,0.7142554152357682,0.1183074754591212,interior,0.29252663374366433,0.7116595103981739,0.1178044996638488
Chairs,86,3.646603758924062e-05,2.281378472623241,0.5868232209285744,boundary_guard,0.01,1.7976935123935012,0.4304363959239074
Coil,140,0.622182972419757,0.4828749004005388,0.09781409102247086,interior,0.619412477926676,0.4837246105820356,0.09786343683664676
CompositeLumber,16,0.8701947546420117,0.3280015072078773,0.06041723409159733,interior,0.8757010888760511,0.32732043160552254,0.0604045102142377
CompositionSiding,3,223823.0129733421,4.467629612731405e-06,0.3440837575994359,boundary_normal_limit,999.9999999999999,0.000998904527927572,0.3442702888129965
ConcreteAdmixtures,118,0.014388406012612185,0.9377728651489095,0.14131673174003898,interior,0.01455148339873194,0.9369409881309919,0.14130620615638323
ConcretePaving [3000-3999 psi],108,2625.7645017614786,0.0003805578203866559,0.03192939580108697,boundary_normal_limit,1000.0,0.0009979853606214032,0.03192361493182582
ConcretePaving [4000-4999 psi],160,2.4090596014417627,0.19920318836477713,0.024547706597675367,interior,2.4040991835099716,0.19940990187635046,0.024546353157367105
ConcretePaving [5000-5999 psi],42,0.6012431389512252,0.5639991696760542,0.051676773018214876,interior,0.6017950643797333,0.5637782553651867,0.05166269554737512
ConcretePaving [<3000 psi],32,84338.14285970741,1.1855730194361204e-05,0.045801009956261,boundary_normal_limit,1000.0,0.0009983809581789655,0.04583886555291042
ConcretePaving [strength not stated],38,0.3356534110237467,0.5614884107682678,0.055613429419799874,interior,0.3379263481967432,0.5604762705059686,0.05555711657988987
Countertops,76,0.007203496516182138,1.484856200850903,0.25307207359360384,boundary_guard,0.01,1.4466872900519254,0.24104882500509164
CurtainWalls,54,0.20752857728608157,0.5984067703221431,0.1103485520296353,interior,0.20691380811147897,0.5987527167152633,0.11033319447007868
DampproofingAndWaterproofing,162,0.002675605003198453,1.0885644436611226,0.36173930423091316,boundary_guard,0.01,1.0280059484699753,0.3692396898615214
DataCabling,951,0.00013266973586839904,1.8914882784338918,0.2787611014250565,boundary_guard,0.01,1.6109097896328135,0.2911213161772365
DeckingBoards,7,0.6816487107725042,0.4578778903207995,0.1461226591934998,interior,0.6754200285605586,0.45951015517415983,0.1462007102765093
DeckingSteel,62,4058.7965589473906,0.00024621398986950034,0.039601850852303846,boundary_normal_limit,1000.0,0.000997270946588323,0.039583451479572776
DemountablePartitionTrack,4,4.3656486566129926e-17,18.262918932121405,0.7438620360307941,boundary_guard,0.009999999999999986,2.471724580219998,0.5723536627917154
DemountablePartitions,45,22.860378791347422,0.04075789366486575,0.10050655715939688,interior,22.824222375040982,0.0408181622242219,0.10050958878002691
DoorsAndFrames,61,0.11762769336481291,0.7283249264907091,0.09004258940461718,interior,0.11618843640510997,0.7299011777496988,0.09014963999520918
Electrical,3,1.8070330594120016e-14,13.948701883433595,0.006209470935479059,boundary_guard,0.009999999999991719,2.2757147945520497,0.0022016559295566034
Elevators,20,8.393708777634157e-21,13.25117986149275,2.2599005030930495,boundary_guard,0.01,2.100544543800706,0.48350476863513375
FenestrationAccessories,17,1.4045467005367115e-05,2.9422203487440304,0.8819163206114216,boundary_guard,0.01,1.9264742232716636,0.5809646625468747
FenestrationFraming,259,0.08973908948899047,0.8933159920539311,0.10035912150854365,interior,0.08961505019466047,0.8935810602661831,0.10043805438407023
FiberCementSiding,29,0.20478129512136117,0.7157015782184777,0.07417911516779647,interior,0.20691380811147894,0.7139068202996736,0.07407120329836492
FireAndSmokeProtection,22,0.030189309025751808,1.2205352914466925,0.28896897869136806,interior,0.0299357729472049,1.221816886044041,0.28923535012417106
FlashingAndSheetMetal,12,1.9828741803143272e-17,12.963440409051469,1.0932506806932225,boundary_guard,0.010000000000000004,1.6283041022029776,0.36428825541983867
FlatGlassPanes,47,0.05684742940207692,0.8763089392819754,0.14683292792001154,interior,0.05647805074067552,0.8768855472834023,0.14692820189705652
FlowableFill,2008,0.01133031044316412,0.7665727071339813,0.06976332314890774,interior,0.011223422532664172,0.7667196060018425,0.06972591912870657
FoamedInPlace [PIR or PUR],8,3.9040666895843e-17,15.678526695886825,1.4066960241635293,boundary_guard,0.010000000000000005,2.0204596172689144,1.0316960056587625
FoamedInPlace [type not stated],5,112309.84523104408,8.904457947874276e-06,0.04231104312996942,boundary_normal_limit,1000.0,0.0009984115892301242,0.042332608123960315
Furnishings,7,66656.0983614877,1.500277117603933e-05,0.12365865598645537,boundary_guard,0.010000000000000016,2.2855397009702063,0.3050705173947282
GlazedDoors,141,0.1132892254623527,0.7742434769077275,0.10231293716900872,interior,0.1128837891684689,0.7748602799083638,0.10237064059979917
Grouting,219,0.0003082501716873356,1.6699832280113582,0.41759750430696385,boundary_guard,0.01,1.254578942184474,0.503965510145642
Gypsum,771,0.2152326499641073,0.5208652323753539,0.04014029442365526,interior,0.21297116275234787,0.5218534928220948,0.040140133341733726
GypsumSheathingBoard,19,16161.020766491436,6.187013891441711e-05,0.07066654634161229,boundary_normal_limit,1000.0,0.0009982335608047911,0.07068272011491204
HeavyTimber,5,3.040851026567242e-17,11.190092844173567,0.7907099214274952,boundary_guard,0.01,2.0960336178739456,0.5728947851378247
Hollow,145,1.3796332149634125,0.30200841640382947,0.06567854336595434,interior,1.3894954943731381,0.3009683140593258,0.06561066974237366
HotRolled,81,0.047206980017695244,0.8055870340337047,0.1429357311888184,interior,0.047499794346614145,0.8051325301376991,0.14300660890545747
InsulatedRoofPanels,271,4.634150907995369,0.1367700724352053,0.025784074541150226,interior,4.66845237070379,0.13611381205554773,0.02582304403675305
InsulatedWallPanels,420,1.2605935744853667,0.24435222271052687,0.01414430428554313,interior,1.2742749857031328,0.24347862342734566,0.014141400783911628
InsulatingGlazingUnits,32,0.029081874783948924,1.0598793762522585,0.2022549563125403,interior,0.029084335640640474,1.0598691881045905,0.2022559508748674
JointProtection,5,129099.963253705,7.745318836112896e-06,0.18497996738410982,boundary_normal_limit,1000.0,0.0009987425905659756,0.18505355555732875
