arm,dataset,n,weighting,family,method,w1,seconds,status,mass_below_zero,threshold
synthetic,dataset597,6,Variable,normal,mle,0.4384801503436143,0.00023391703143715858,,0.15738219123694808,0.9474804860053841
synthetic,dataset597,6,Variable,normal,w1,0.2632478948599553,0.05724441702477634,,0.9552245740304804,-3.72655603420743
synthetic,dataset597,6,Variable,lognormal_2p,mle,0.48318463830551767,0.0002680000616237521,,0.0,0.0
synthetic,dataset597,6,Variable,lognormal_2p,w1,0.3379017844263501,0.04267316707409918,,0.0,0.0
synthetic,dataset597,6,Variable,lognormal_3p,mle,0.34748910442724,0.0017376670148223639,boundary_guard,0.06539051023983197,-0.18086659635732036
synthetic,dataset597,6,Variable,lognormal_3p,w1,0.26330665802295367,0.25309720798395574,,0.9553401568378325,-554.3035572720183
synthetic,dataset597,6,Variable,lognormal_offset,mle,0.3244892951075107,0.0002257500309497118,,0.09355472665672138,-0.5
synthetic,dataset597,6,Variable,lognormal_offset,w1,0.29480610215016506,0.038669749977998435,,0.10648850974142376,-0.5
synthetic,dataset597,6,Variable,gamma,mle,0.2951681832909262,0.0002329160925000906,,0.0,0.0
synthetic,dataset597,6,Variable,gamma,w1,0.2745647668041637,0.034330249996855855,,0.0,0.0
synthetic,dataset597,6,Variable,kde,mle,0.4712653891879539,,,0.22806832392631116,
synthetic,dataset598,9,Uniform,normal,mle,0.09335931920634942,0.00023437500931322575,,1.0941909255383376e-09,1.0000000000000002
synthetic,dataset598,9,Uniform,normal,w1,0.09598725057881831,0.025074917008168995,,3.816535919602742e-10,1.00459625980014
synthetic,dataset598,9,Uniform,lognormal_2p,mle,0.09447951314834566,0.000249417033046484,,0.0,0.0
synthetic,dataset598,9,Uniform,lognormal_2p,w1,0.10208219490113467,0.030092708067968488,,0.0,0.0
synthetic,dataset598,9,Uniform,lognormal_3p,mle,0.09335684727917307,0.0016851660329848528,boundary_normal_limit,9.854811061995908e-10,-166.4274703215815
synthetic,dataset598,9,Uniform,lognormal_3p,w1,,0.002030499977990985,,,
synthetic,dataset598,9,Uniform,lognormal_offset,mle,0.09371360450417549,0.0002313329605385661,,3.659860193117828e-22,-0.5
synthetic,dataset598,9,Uniform,lognormal_offset,w1,0.09933814767322854,0.028536417055875063,,1.5818117379160074e-25,-0.5
synthetic,dataset598,9,Uniform,gamma,mle,0.09348055024520122,0.00023129198234528303,,0.0,0.0
synthetic,dataset598,9,Uniform,gamma,w1,0.09924714839289922,0.036404207930900156,,0.0,0.0
synthetic,dataset598,9,Uniform,kde,mle,0.09690412158491968,,,3.117569142146161e-11,
synthetic,dataset598,9,Variable,normal,mle,0.07419369254107283,0.00023374997545033693,,9.25690455768299e-08,0.9237716849952702
synthetic,dataset598,9,Variable,normal,w1,0.07254105249790037,0.030668499995954335,,1.798521850072904e-09,0.9344259495556297
synthetic,dataset598,9,Variable,lognormal_2p,mle,0.08031320877514833,0.00024612504057586193,,0.0,0.0
synthetic,dataset598,9,Variable,lognormal_2p,w1,0.07666104527611849,0.03632104198914021,,0.0,0.0
