material,coeffvar,coeffvar_uw,crit_bw_1,crit_bw_1_uw,entropy,entropy_uw,fit_lognorm_SW,fit_lognorm_SW_uw,fit_norm_SW,fit_norm_SW_uw,kurtosis,kurtosis_uw,mean,mean_uw,modality_index,modality_index_uw,n,skewness,skewness_uw,w_v_uw_wasserstein,weight_outliers,weight_outliers_uw
Furnishings,1.0385241207756841,1.1520655875480112,0.5809330562696018,0.6359379220591301,2.3872613246815044,2.5885731626821302,0.833376507177901,0.8011152137527485,0.8138161155980508,0.7504111383368106,-1.325812932558428,-1.0886201798516686,1.0816886753312638,1.0000000000000002,1.0,1.007824501726355,17.0,0.5952950364847099,0.8145611021260043,0.12941785753245258,0.0,0.0
GlazedDoors,0.8356475951997215,0.8577832115997723,0.3973050628663747,0.3477698519563562,4.030384661047567,4.258356334451006,0.9087002038362703,0.9236004562708242,0.884602013221813,0.8672511356912301,1.5076860319236975,2.1154883334284955,0.9920167298398224,1.0000000000000002,1.0,1.0,145.0,1.2864315394590002,1.434940636505631,0.04005254192795753,0.03436912480414533,0.034482758620689655
Grouting,0.9712916503780068,1.0036235242938867,0.6699743645412397,0.41221755069989285,4.074053417374617,4.244092151911914,0.9839295339742891,0.9812552320016956,0.7641035648496699,0.7751985437411082,4.549400114055705,3.79996354341054,1.035421158749167,0.9999999999999998,1.023785940723048,1.0025450789826524,216.0,2.0657818071824714,1.9255488409794599,0.0667830235808978,0.06326489805462251,0.06018518518518518
Gypsum,0.472623451335385,0.4675724693931543,0.3168057842526808,0.30723702579689977,4.691232429972594,4.823232679722035,0.988924058473903,0.9837952968850634,0.9383598334656705,0.9460127173126133,0.9110831111816076,1.1149505373299915,0.9732190934152339,1.0000000000000002,1.0,1.0001419327983099,581.0,0.9889225064114603,0.9716055315640031,0.031174854731637405,0.04151602698246035,0.030981067125645443
GypsumSheathingBoard,0.2958699439415322,0.2989180104793001,0.408911433919978,0.3939503413852454,2.042173790927084,2.524167661673463,0.944280714042009,0.9485050817844374,0.9097171159321978,0.9496432618236057,0.1146055461571796,-0.5715894172454025,0.9856285185397594,1.0,1.0,1.0,18.0,0.7654514791642232,0.3910481636572795,0.04671461595706167,0.08140725351361457,0.0
HeavyTimber,0.498375269934125,0.6588565366855073,0.9575333752068106,0.7913567754819681,1.1062959616633155,1.3862943611198963,0.9628175308561417,0.8865932945714952,0.9093993139902791,0.7731914035486257,-5.196794094347597,3.5387704960466047,1.4647844645465529,1.0,1.0,1.0,4.0,-0.3854508412368889,1.8510999525382827,0.4647844645465527,0.0,0.25
Hollow,0.2900863010627162,0.27259245701564655,0.4913123912776157,0.43867081643710554,3.883962816876148,4.106812412045673,0.9578705044259291,0.9492774274531698,0.9711001255473946,0.9655715255661855,0.9020838334506771,1.480079253403844,0.960169683233951,1.0000000000000002,1.000149352435557,1.0016625909879384,110.0,0.435012272264851,0.5516008372941525,0.046005641560450714,0.0185180504418739,0.05454545454545454
HotRolled,0.7970217223022026,0.8581427250635852,0.562458997051148,0.6015749398111818,3.4684231098934397,3.7304395710314333,0.9366921795825947,0.9727213698030176,0.8538700848176247,0.8326043125139062,2.870416765293616,2.8878412832249154,0.9941748428512367,1.0000000000000007,1.003654964426423,1.0105804813863437,63.0,1.5222851661864807,1.5990973063743779,0.05886595240260548,0.029678453551412763,0.015873015873015872
InsulatedRoofPanels,0.48884726257095173,0.5543540601930187,0.7893082051541005,0.5680416338818425,2.562788741615874,2.8714761180548747,0.9004680421575089,0.9363922512531296,0.8947516518021406,0.9136390423914031,-1.6154428736719106,-0.5593319991610657,1.0659785585486568,1.0000000000000002,1.129343647950641,1.0,19.0,0.027679315794772317,0.6041526066128643,0.12064031139929426,0.0,0.0
InsulatedWallPanels,0.49840508546744017,0.5282288573685671,0.40518287761395094,0.41670035074390105,3.696922323034997,4.011828299820399,0.9285073927320782,0.911271083912867,0.9646518464258302,0.9680736528264452,-0.6108570103946203,-0.7061409292433735,1.052712903823206,0.9999999999999998,1.0,1.0,72.0,0.3168261310597712,0.3046951772683644,0.05596442128217288,0.0,0.0
