material,n_implausible,n_before,n_after,n_removed,n_removed_low,n_removed_high,min_over_mean_before,max_over_mean_before,min_over_mean_after,max_over_mean_after,status
BoardInsulation [PIR or PUR],0,50,50,0,0,0,0.09153665982814195,6.898612576645091,0.09153665982814195,6.898612576645091,ok
BoardInsulation [XPS],0,19,19,0,0,0,0.06813585653698562,5.643951059194449,0.06813585653698562,5.643951059194449,ok
BoardInsulation [mineral wool],0,78,77,1,0,1,0.23170588998751243,6.8164036987377825,0.25063855236437527,4.401594264117104,ok
BoardInsulation [other],0,7,7,0,0,0,0.2782284231018819,2.055483452303699,0.2782284231018819,2.055483452303699,ok
BoardInsulation [type not stated],0,131,131,0,0,0,0.01005576517698827,4.089016087684048,0.01005576517698827,4.089016087684048,ok
Brick,1,224,215,9,0,9,0.013121891434395037,58.227532203035764,0.06175612950123387,12.786612341999492,ok
CMU [3000-3999 psi],0,137,137,0,0,0,0.4326005646638752,1.81423957738881,0.4326005646638752,1.81423957738881,ok
CMU [4000-4999 psi],0,18,18,0,0,0,0.5440117941496255,1.6657277531969363,0.5440117941496255,1.6657277531969363,ok
CMU [5000-5999 psi],0,9,8,1,0,1,0.7608971794784802,1.5806869924699831,0.820450280187645,1.2476843449887398,ok
CMU [<3000 psi],0,277,274,3,3,0,0.0011359054695108271,2.257142612146099,0.3314220274852647,2.2333887118264353,ok
CMU [>=6000 psi],0,8,8,0,0,0,0.64,1.472520325203252,0.64,1.472520325203252,ok
CMU [strength not stated],0,43,39,4,3,1,0.05037317911893666,2.9793367478892456,0.5779785044886449,1.702925860385557,ok
CableTrays,0,59,59,0,0,0,0.01099289025350837,7.132990472917139,0.01099289025350837,7.132990472917139,ok
Carpet,0,2014,1989,25,25,0,0.0002980685871585521,3.0278032427514776,0.1011898167069837,2.9911709818584375,ok
CastDecksAndUnderlayment,0,255,255,0,0,0,0.5201575756339739,2.432045167938441,0.5201575756339739,2.432045167938441,ok
Cement,87,1115,1084,31,29,2,2.7066280287836085e-08,69.5574299870196,0.1481267770545474,4.385882573405294,ok
CementBoard,0,21,21,0,0,0,0.22569848593426994,2.1869035667610754,0.22569848593426994,2.1869035667610754,ok
CementGrout,0,3771,3764,7,5,2,0.000561214835219926,4.5487939275720315,0.2343750316455905,3.797880399301183,ok
CementitiousSheathingBoard,0,51,51,0,0,0,0.04085301099425556,3.166046056733717,0.04085301099425556,3.166046056733717,ok
Coil,0,141,140,1,1,0,0.04799240863232339,4.863922095718358,0.0740106473679391,4.831070553990984,ok
CompositeLumber,0,16,16,0,0,0,0.46606474959747946,2.0703601955195987,0.46606474959747946,2.0703601955195987,ok
CompositionSiding,0,3,3,0,0,0,0.14064236565294416,1.4490361705975408,0.14064236565294416,1.4490361705975408,ok
ConcreteAdmixtures,0,118,118,0,0,0,0.008480029821294453,39.27313810986993,0.008480029821294453,39.27313810986993,ok
ConcretePaving [3000-3999 psi],0,108,108,0,0,0,0.5613822395499839,1.3830670896773731,0.5613822395499839,1.3830670896773731,ok
ConcretePaving [4000-4999 psi],0,161,160,1,0,1,0.4200842607733335,2.6064318907072734,0.4243447668112102,1.678090668753422,ok
ConcretePaving [5000-5999 psi],0,42,42,0,0,0,0.616712373678078,1.433324620203533,0.616712373678078,1.433324620203533,ok
ConcretePaving [<3000 psi],0,32,32,0,0,0,0.5974579017580314,1.417801652876572,0.5974579017580314,1.417801652876572,ok
ConcretePaving [strength not stated],0,38,38,0,0,0,0.45349067680701627,3.3398254550728494,0.45349067680701627,3.3398254550728494,ok
Countertops,0,76,76,0,0,0,0.016594949983799977,6.220205028892859,0.016594949983799977,6.220205028892859,ok
CurtainWalls,0,56,54,2,2,0,0.0008568498496208659,4.10343564629063,0.12200828741293855,3.958127995134912,ok
DampproofingAndWaterproofing,0,162,162,0,0,0,0.018342513965041832,17.60578425155907,0.018342513965041832,17.60578425155907,ok
