arm,dataset,n,method,w1,w1_heldout,model_sd_ratio,w1_rank,w1_heldout_rank,w1_heldout_rank_within,w1_relative
synthetic,dataset9912,7764,"Normal, Uniform",0.10890982038582436,,0.9141955174033922,5.0,,,2.030363015543274
synthetic,dataset9912,7764,"Normal, Variable",0.10926230579654897,,0.9024800733420633,6.0,,,2.036934262644027
synthetic,dataset9912,7764,"Lognormal, Uniform",0.043530912600233056,,0.9714818467050939,4.0,,,0.8115297102065908
synthetic,dataset9912,7764,"Lognormal, Variable",0.04275702271522081,,0.965271790185225,3.0,,,0.7971023849657128
synthetic,dataset9912,7764,"KDE, Uniform",0.008099493888987652,,1.0223485998341437,1.0,,,0.15099568412252887
synthetic,dataset9912,7764,"KDE, Variable",0.009283837795806207,,1.0044474486705244,2.0,,,0.17307494251786648
synthetic,dataset9914,2122,"Normal, Uniform",0.16633143303012432,,0.6237181073338606,5.0,,,1.2126788984832662
synthetic,dataset9914,2122,"Normal, Variable",0.2772823185359802,,0.8365449450062034,6.0,,,2.021592734971504
synthetic,dataset9914,2122,"Lognormal, Uniform",0.13149890982106974,,0.6675345333159921,3.0,,,0.9587240980764249
synthetic,dataset9914,2122,"Lognormal, Variable",0.07449477275996964,,0.9686364551987474,2.0,,,0.543121870157639
synthetic,dataset9914,2122,"KDE, Uniform",0.13790778855765462,,0.6973814015988062,4.0,,,1.0054495537838077
synthetic,dataset9914,2122,"KDE, Variable",0.03544673320039637,,1.0153864982742224,1.0,,,0.25843284452735865
synthetic,dataset9915,2020,"Normal, Uniform",0.2947303631226974,,1.3230536909600181,6.0,,,2.3964613846860514
synthetic,dataset9915,2020,"Normal, Variable",0.09550520720256496,,0.9172106883363699,3.0,,,0.7765556920313151
synthetic,dataset9915,2020,"Lognormal, Uniform",0.1412994207438631,,1.4162238239369582,4.0,,,1.1489098099818338
synthetic,dataset9915,2020,"Lognormal, Variable",0.04782696064439148,,0.9694959463716454,2.0,,,0.38888244535385325
synthetic,dataset9915,2020,"KDE, Uniform",0.14390219941010124,,1.588187884098921,5.0,,,1.1700730810491167
synthetic,dataset9915,2020,"KDE, Variable",0.014649753951823417,,1.0189271465621548,1.0,,,0.11911758689782932
synthetic,dataset9916,3666,"Normal, Uniform",0.11363371327007384,,0.8956802511192096,5.0,,,1.8662073790616802
synthetic,dataset9916,3666,"Normal, Variable",0.12509987144257195,,0.9332438432603701,6.0,,,2.0545161861508854
synthetic,dataset9916,3666,"Lognormal, Uniform",0.05229286264404553,,0.8856861662908316,3.0,,,0.8588061001459628
synthetic,dataset9916,3666,"Lognormal, Variable",0.05574283074426674,,0.9159689978004998,4.0,,,0.9154649537632705
synthetic,dataset9916,3666,"KDE, Uniform",0.011377348018239796,,0.9586724618448901,2.0,,,0.18685027721771724
synthetic,dataset9916,3666,"KDE, Variable",0.007194486165573973,,1.0102163674199038,1.0,,,0.11815510366048428
synthetic,dataset9917,2587,"Normal, Uniform",0.02995861280300265,,1.103542289646355,6.0,,,1.4877526018177678
synthetic,dataset9917,2587,"Normal, Variable",0.02389514601385661,,1.0013070618159585,4.0,,,1.186639244169796
synthetic,dataset9917,2587,"Lognormal, Uniform",0.02778736676290361,,1.099381520719566,5.0,,,1.3799279516383671
synthetic,dataset9917,2587,"Lognormal, Variable",0.02272878796232637,,0.997789308171397,3.0,,,1.1287175961540608
synthetic,dataset9917,2587,"KDE, Uniform",0.014198277429723597,,1.111256320778543,2.0,,,0.7050901964754733
synthetic,dataset9917,2587,"KDE, Variable",0.0022527550634295016,,1.0102143812495101,1.0,,,0.11187240974453523
synthetic,dataset9919,7785,"Normal, Uniform",0.1280428856762118,,1.0585515147699194,6.0,,,1.6818113652917304
synthetic,dataset9919,7785,"Normal, Variable",0.0882807247914496,,0.9700051442535175,4.0,,,1.1595453000481295
synthetic,dataset9919,7785,"Lognormal, Uniform",0.09688570914028864,,1.0794642938206638,5.0,,,1.2725696231068186
synthetic,dataset9919,7785,"Lognormal, Variable",0.048355930939441016,,0.9671274516361297,2.0,,,0.6351430913457055
synthetic,dataset9919,7785,"KDE, Uniform",0.08814715000344966,,1.1030260818504354,3.0,,,1.1577908285256522
synthetic,dataset9919,7785,"KDE, Variable",0.007091097101827029,,1.010665885123008,1.0,,,0.09313979168196437
synthetic,dataset992,7,"Normal, Uniform",0.3796299264808612,,1.350820579287886,5.0,,,1.4938910903718616
synthetic,dataset992,7,"Normal, Variable",0.13791275610006723,,0.9424465219106026,3.0,,,0.5427038892754541
synthetic,dataset992,7,"Lognormal, Uniform",0.3626436403384093,,3.49867068204445,4.0,,,1.4270479366670255
synthetic,dataset992,7,"Lognormal, Variable",0.11558744701770134,,2.1493825551520294,1.0,,,0.454851014669095
synthetic,dataset992,7,"KDE, Uniform",0.3977697727710785,,1.6121314849162396,6.0,,,1.5652736470761655
synthetic,dataset992,7,"KDE, Variable",0.13118578566492922,,1.194400307216065,2.0,,,0.5162324219403986
synthetic,dataset9920,1602,"Normal, Uniform",0.10606338218730145,,1.4771379888685074,6.0,,,1.642569572247339
synthetic,dataset9920,1602,"Normal, Variable",0.053913456790133235,,1.0012591424617576,3.0,,,0.8349404085734227
synthetic,dataset9920,1602,"Lognormal, Uniform",0.09582789901156984,,1.4516987191177126,5.0,,,1.484055928094294
synthetic,dataset9920,1602,"Lognormal, Variable",0.05094150116678163,,0.9619286220148364,2.0,,,0.7889146853095158
synthetic,dataset9920,1602,"KDE, Uniform",0.07744812057206352,,1.4906307557370344,4.0,,,1.199414196077235
synthetic,dataset9920,1602,"KDE, Variable",0.003235374680978253,,1.0069469533075868,1.0,,,0.05010520969819293
synthetic,dataset9921,3420,"Normal, Uniform",0.4077312771719269,,0.6558449463165529,5.0,,,1.6748000322296959
synthetic,dataset9921,3420,"Normal, Variable",0.5251850706145565,,0.7810661576698216,6.0,,,2.157254109355276
synthetic,dataset9921,3420,"Lognormal, Uniform",0.20226343665313126,,0.6259419947350643,3.0,,,0.8308187995170976
synthetic,dataset9921,3420,"Lognormal, Variable",0.20283535091840496,,0.6990650078078626,4.0,,,0.8331679988146269
synthetic,dataset9921,3420,"KDE, Uniform",0.10693333633766883,,0.8169106221677296,2.0,,,0.43924016913041347
synthetic,dataset9921,3420,"KDE, Variable",0.015755860734156843,,1.004380400041166,1.0,,,0.06471889095288993
synthetic,dataset9922,3933,"Normal, Uniform",0.5878604129021909,,0.9976689878710279,6.0,,,2.465440686461887
synthetic,dataset9922,3933,"Normal, Variable",0.37672420276538365,,0.7912544754808499,5.0,,,1.579951901315097
synthetic,dataset9922,3933,"Lognormal, Uniform",0.18526576442947676,,0.8956666585109806,4.0,,,0.7769901551593202
synthetic,dataset9922,3933,"Lognormal, Variable",0.11670079865346684,,0.6687520601402142,2.0,,,0.48943404051043804
synthetic,dataset9922,3933,"KDE, Uniform",0.15339421647379792,,1.3007035156169087,3.0,,,0.643323370756327
synthetic,dataset9922,3933,"KDE, Variable",0.010696395016810134,,1.00796207354498,1.0,,,0.04485984579693
synthetic,dataset9923,1098,"Normal, Uniform",0.2781928911829773,,0.8063682337728404,5.0,,,2.1702052815674318
synthetic,dataset9923,1098,"Normal, Variable",0.2875955911294557,,0.8271282839314911,6.0,,,2.2435565055978817
synthetic,dataset9923,1098,"Lognormal, Uniform",0.0766137151512254,,0.877194816366478,4.0,,,0.5976697986589892
synthetic,dataset9923,1098,"Lognormal, Variable",0.07574811118706605,,0.8905946698575453,3.0,,,0.5909171520087598
synthetic,dataset9923,1098,"KDE, Uniform",0.03162880139535458,,0.9720684710938275,2.0,,,0.24673884205293461
synthetic,dataset9923,1098,"KDE, Variable",0.019345065106749878,,1.009554428345601,1.0,,,0.15091242011400235
synthetic,dataset9924,1246,"Normal, Uniform",0.0807241231609056,,0.9412214935180203,4.0,,,1.0099959400324832
synthetic,dataset9924,1246,"Normal, Variable",0.07123092567653802,,0.9462705739148701,2.0,,,0.8912199095016081
synthetic,dataset9924,1246,"Lognormal, Uniform",0.13600688949192152,,1.0509766005256,6.0,,,1.7016772784199579
synthetic,dataset9924,1246,"Lognormal, Variable",0.07127329668683495,,0.9465711763379583,3.0,,,0.8917500428334953
synthetic,dataset9924,1246,"KDE, Uniform",0.10238655596646903,,1.033142827653039,5.0,,,1.281029781319736
synthetic,dataset9924,1246,"KDE, Variable",0.01792938320309675,,1.0149891267297393,1.0,,,0.2243270478927202
synthetic,dataset9925,9368,"Normal, Uniform",0.32489378264788116,,1.1060894089107525,6.0,,,2.1771673727844925
synthetic,dataset9925,9368,"Normal, Variable",0.18307024612313424,,0.8705052939123255,5.0,,,1.2267842232576314
synthetic,dataset9925,9368,"Lognormal, Uniform",0.15983268614656965,,1.1231358292606346,4.0,,,1.0710654619080775
synthetic,dataset9925,9368,"Lognormal, Variable",0.10173712292508946,,0.8155199354354269,2.0,,,0.6817574126173095
synthetic,dataset9925,9368,"KDE, Uniform",0.11675179085584655,,1.3600094578719975,3.0,,,0.7823732042327086
synthetic,dataset9925,9368,"KDE, Variable",0.009080855410666094,,1.012988239610468,1.0,,,0.06085232519978073
synthetic,dataset9926,4618,"Normal, Uniform",0.16742865891537517,,0.8861865380526112,6.0,,,2.220740447421892
synthetic,dataset9926,4618,"Normal, Variable",0.15914109519768344,,0.8751537403108465,5.0,,,2.110815849819002
synthetic,dataset9926,4618,"Lognormal, Uniform",0.048999318811947676,,0.9558641679369295,4.0,,,0.6499172237699864
synthetic,dataset9926,4618,"Lognormal, Variable",0.0461989574357809,,0.946717535932994,3.0,,,0.6127737871819
synthetic,dataset9926,4618,"KDE, Uniform",0.02035382628175285,,1.0200253194814999,2.0,,,0.2699691055073993
synthetic,dataset9926,4618,"KDE, Variable",0.010237154811716739,,1.0067486726225057,1.0,,,0.1357835862998202
synthetic,dataset9927,1080,"Normal, Uniform",0.13450506771722148,,0.7263299925168726,3.0,,,0.9744742681754334
synthetic,dataset9927,1080,"Normal, Variable",0.1813643466381884,,0.87970508754469,4.0,,,1.3139645365253092
synthetic,dataset9927,1080,"Lognormal, Uniform",0.2233365933790743,,0.758013927269707,6.0,,,1.6180487998223025
synthetic,dataset9927,1080,"Lognormal, Variable",0.04000062929992243,,1.009063190160256,2.0,,,0.2898001140414126
synthetic,dataset9927,1080,"KDE, Uniform",0.21323342326167605,,0.8296753707890948,5.0,,,1.5448524550786091
synthetic,dataset9927,1080,"KDE, Variable",0.03572999268477274,,1.0108516885342753,1.0,,,0.2588598263569333
synthetic,dataset9928,6225,"Normal, Uniform",0.14250804460645594,,0.8964616142138406,6.0,,,2.393355935337575
synthetic,dataset9928,6225,"Normal, Variable",0.1298263384685569,,0.8863124711151007,5.0,,,2.180372614015849
synthetic,dataset9928,6225,"Lognormal, Uniform",0.028939382588612103,,0.9959413600655459,4.0,,,0.4860233909933384
synthetic,dataset9928,6225,"Lognormal, Variable",0.020566892350700854,,0.9873228440252189,2.0,,,0.3454113346017303
synthetic,dataset9928,6225,"KDE, Uniform",0.025111188265913215,,1.016485450776587,3.0,,,0.42173065840298524
synthetic,dataset9928,6225,"KDE, Variable",0.010307287229350693,,1.0078188628091194,1.0,,,0.1731060666485217
synthetic,dataset9929,3225,"Normal, Uniform",0.30586030474363834,,0.9525587910800709,6.0,,,2.3591313994443768
synthetic,dataset9929,3225,"Normal, Variable",0.22233632607553372,,0.841945964096951,5.0,,,1.714902522318254
synthetic,dataset9929,3225,"Lognormal, Uniform",0.08601936223782872,,1.0444354260775381,4.0,,,0.6634760224460361
synthetic,dataset9929,3225,"Lognormal, Variable",0.06525618610782866,,0.9316344327160543,2.0,,,0.5033275494314255
synthetic,dataset9929,3225,"KDE, Uniform",0.07811615477244385,,1.1561403366295955,3.0,,,0.6025177856341687
synthetic,dataset9929,3225,"KDE, Variable",0.020308916251524027,,1.004131445436886,1.0,,,0.1566447207257386
synthetic,dataset993,3,"Normal, Uniform",0.08461127155246662,,1.0748987081616257,2.0,,,0.9266741846185879
synthetic,dataset993,3,"Normal, Variable",0.08168933366002282,,1.0010586222770141,1.0,,,0.8946727223511463
synthetic,dataset993,3,"Lognormal, Uniform",0.10886131887459892,,2.7725227609625605,6.0,,,1.1922640099087622
synthetic,dataset993,3,"Lognormal, Variable",0.09175606291367457,,1.5096715058297254,4.0,,,1.004924913953293
synthetic,dataset993,3,"KDE, Uniform",0.09565648921173396,,1.3255659726974294,5.0,,,1.0476429146770834
