stratum,truncated_mass
s1_3_9,2.3112300961969368e-10
s1_3_9,6.00155702912275e-10
s1_3_9,1.1251636289344447e-09
s1_3_9,9.341113438310344e-09
s1_3_9,0.013089960653053345
s1_3_9,0.009594366892934691
s1_3_9,0.0130073596458129
s1_3_9,0.0060912092058198475
s1_3_9,0.01591747287959977
s1_3_9,1.2931778536895422e-08
s1_3_9,1.646645796060664e-05
s1_3_9,0.00024108470355233003
s1_3_9,0.003499403025604697
s1_3_9,0.014336944341865276
s1_3_9,0.011729621969971737
s1_3_9,3.292233204277295e-05
s1_3_9,0.21253068799620722
s1_3_9,3.2727591074976914e-06
s1_3_9,0.01960669665950543
s1_3_9,0.005477707195549519
s1_3_9,1.0169576292184956e-10
s1_3_9,1.4743595233568385e-09
s1_3_9,0.01438093873978119
s1_3_9,0.016279276165528156
s1_3_9,3.259279200196197e-05
s1_3_9,0.012890611050789258
s1_3_9,1.075010760964723e-06
s1_3_9,0.022059703236198436
s1_3_9,0.12912849003392235
s1_3_9,0.005378870195268504
s1_3_9,0.005318807543634008
s1_3_9,2.842170943040401e-14
s1_3_9,0.010680949628773417
s1_3_9,1.2327092679953466e-08
s1_3_9,0.01437002094353268
s1_3_9,0.0001114912076525254
s1_3_9,1.5380208218118696e-10
s1_3_9,3.4416913763379853e-15
s1_3_9,3.0647846260833944e-08
s1_3_9,1.3596737957755067e-07
s1_3_9,4.294444387142882e-05
s1_3_9,2.231994589152464e-10
s1_3_9,0.00786828002976303
s1_3_9,0.011459969250470103
s1_3_9,4.356808040784088e-06
s1_3_9,1.0347528389687e-09
s1_3_9,0.020130880421468156
s1_3_9,0.01143317722765147
s1_3_9,8.797007566840875e-11
s1_3_9,0.000632919963034162
s1_3_9,0.0010387963286364599
s1_3_9,0.004932715969818258
s1_3_9,0.012667379121596323
s1_3_9,1.89594906441215e-08
s1_3_9,0.0026787939593614363
s1_3_9,0.0
s1_3_9,6.199266699979944e-08
s1_3_9,0.04178342045107264
s1_3_9,0.007591789304613905
s1_3_9,0.015305280571165425
s1_3_9,0.014933340917378413
s1_3_9,0.0003353579786644634
s1_3_9,1.8477142038619832e-10
s1_3_9,1.4505108225648655e-10
s1_3_9,0.0
s1_3_9,1.1803062814896847e-05
s1_3_9,2.187884338278323e-05
s1_3_9,0.013805905775784333
s1_3_9,3.126388037344441e-13
s1_3_9,3.522997834770614e-05
s1_3_9,8.487646269861315e-05
s1_3_9,2.228099926782079e-10
s1_3_9,1.2606679133941867e-07
s1_3_9,0.006579068387501552
s1_3_9,0.005184880611737608
s2_10_99,5.311979167643699e-08
s2_10_99,0.034825310326942804
s2_10_99,0.011639878551699567
s2_10_99,0.036128156187584914
s2_10_99,0.013591592985669032
s2_10_99,7.654088474140508e-11
s2_10_99,0.030694978442531773
s2_10_99,2.220446049250313e-16
s2_10_99,1.1507838695634653e-05
s2_10_99,3.470497293989183e-06
s2_10_99,2.90495705268512e-09
s2_10_99,4.276197172825569e-05
s2_10_99,0.0013004104204691336
s2_10_99,2.0345625184603477e-10
s2_10_99,0.004726264060039509
s2_10_99,1.6052967610757918e-07
s2_10_99,3.319122754419368e-12
s2_10_99,1.6189950579059698e-06
s2_10_99,3.361725242623237e-07
s2_10_99,0.01126865540397981
s2_10_99,0.017775483353803523
s2_10_99,0.015938023200888107
s2_10_99,0.02489224431432835
s2_10_99,0.1589159822613192
s2_10_99,0.025183421875580203
s2_10_99,4.141745390762175e-05
s2_10_99,5.1714378614953205e-06
s2_10_99,1.0633130060888618e-06
s2_10_99,8.001760365416999e-10
s2_10_99,9.99482147912012e-06
s2_10_99,0.007295424157016894
s2_10_99,0.00027463338066169296
s2_10_99,2.163170753632926e-10
s2_10_99,0.013120146035518365
s2_10_99,4.106937012693379e-12
s2_10_99,0.013012263544605385
s2_10_99,2.671785015451178e-10
s2_10_99,0.000827171833860163
s2_10_99,2.3273649674138142e-10
s2_10_99,0.010908304794388424
s2_10_99,7.909228827429615e-13
s2_10_99,0.00806998296803385
s2_10_99,2.0792512156475595e-10
s2_10_99,1.0372896985799684e-09
s2_10_99,2.3295473550177803e-08
s2_10_99,1.8671109103252093e-10
s2_10_99,0.015064039284866326
s2_10_99,2.3924301319588892e-05
s2_10_99,2.040661340307892e-05
s2_10_99,0.0001515137122229948
s2_10_99,2.414117794558024e-10
s2_10_99,2.1842572195396315e-10
s2_10_99,3.0233138215152167e-10
s2_10_99,2.349551361024993e-06
s2_10_99,0.011098089486611062
s2_10_99,0.012178208580754246
s2_10_99,0.012731973494116255
s2_10_99,1.748671207835173e-10
s2_10_99,2.887982489818697e-07
s2_10_99,5.61144042343642e-08
s2_10_99,1.3190298468579442e-05
s2_10_99,0.003688133787226544
s2_10_99,3.774758283725532e-15
s2_10_99,0.0013664123396155414
s2_10_99,5.8780104006395106e-08
s2_10_99,1.8574761494472014e-06
s2_10_99,0.024065795921730637
s2_10_99,3.140755433506115e-10
s2_10_99,1.7556953624264793e-07
s2_10_99,0.00033269346126330035
s2_10_99,0.006882492402083273
s2_10_99,6.390843410031266e-10
s2_10_99,3.001598969376573e-10
s2_10_99,1.5880663450928978e-10
s2_10_99,0.029943630988720882
s2_10_99,0.054845124261671985
s2_10_99,6.264240742237526e-06
s2_10_99,2.937274867775841e-10
s2_10_99,0.012350463601844441
s2_10_99,5.089656673895604e-08
s2_10_99,5.1479931428843884e-11
s2_10_99,8.920746327523155e-05
s2_10_99,0.033571097576375886
s2_10_99,0.00045809711822464294
s2_10_99,0.007061047126906805
s2_10_99,1.6142587266898545e-10
s2_10_99,0.021244420462655622
s2_10_99,0.005537599102957147
s2_10_99,0.002232218377445805
s2_10_99,0.023702469626820544
s2_10_99,0.00016371794348635227
s2_10_99,6.138071317884908e-08
s2_10_99,1.6923769385890353e-07
s2_10_99,0.1520391796753846
s2_10_99,0.005571313209826068
s2_10_99,2.9223136872813527e-05
s2_10_99,0.24012145329258272
s2_10_99,1.5336244412189615e-06
s2_10_99,0.09768394142327907
s2_10_99,2.4300006451483114e-10
s2_10_99,1.3180345703744933e-10
s2_10_99,1.268666394160789e-09
s2_10_99,0.011871510087424042
s2_10_99,1.837583751829186e-09
s2_10_99,0.00019699316249033316
s2_10_99,1.580116941735099e-07
s2_10_99,3.5572827188468104e-05
s2_10_99,1.05250141935187e-10
s2_10_99,0.17963082182077872
s2_10_99,2.5928708069500317e-09
s2_10_99,8.025247133502944e-12
s2_10_99,8.811746887715799e-10
s2_10_99,0.0274816825290618
s2_10_99,0.01159847423389826
s2_10_99,0.00837567827000718
s2_10_99,0.012967534171860806
s2_10_99,0.013582371815062166
s2_10_99,0.0018436342692975671
s2_10_99,0.012688398091991293
s2_10_99,2.176189164426745e-07
s2_10_99,2.298090606700498e-10
s2_10_99,0.013023099811379835
s2_10_99,1.2577405783531503e-10
s2_10_99,7.080280268301209e-06
s2_10_99,9.56267339868866e-07
s2_10_99,0.005124562978306768
s2_10_99,2.3157746753543762e-07
s2_10_99,1.3227398444559668e-05
s2_10_99,1.070636825861726e-07
s2_10_99,4.458659090378347e-06
s2_10_99,0.005715575994223787
s2_10_99,0.01143196440973926
s2_10_99,0.010574998337617991
s2_10_99,2.773028473512795e-10
s2_10_99,0.001281850621607683
s2_10_99,3.2243342307225475e-07
s2_10_99,0.19314809883402084
s2_10_99,0.010954920724069672
s2_10_99,1.869282506561376e-12
s2_10_99,0.0
s2_10_99,0.010812865028465124
s2_10_99,4.350971278821447e-07
s2_10_99,0.026432437886394933
s2_10_99,0.012044260522451444
s2_10_99,0.011683173618443954
s2_10_99,2.2542945088410704e-07
s2_10_99,3.2163161023390785e-13
s2_10_99,8.71135275026802e-09
s2_10_99,8.497360430848033e-07
s2_10_99,0.024265511858319266
s2_10_99,1.3498535622602503e-11
s2_10_99,0.012668280446596292
s2_10_99,1.9496348979686218e-10
s2_10_99,9.658940314238862e-15
s2_10_99,8.430531828196308e-10
s2_10_99,0.01465093201982115
s2_10_99,0.0025302699559235364
s2_10_99,0.0022567269240227894
s2_10_99,2.8736525470751673e-05
s2_10_99,2.4312708764462343e-05
s2_10_99,0.0005311956326641276
s2_10_99,2.7276136904674786e-10
s2_10_99,0.0005409836588358141
s2_10_99,0.23347487857128757
s2_10_99,0.013918599570290069
s2_10_99,0.011817509893878753
s2_10_99,0.000735363177626347
s2_10_99,4.392930463836819e-12
s2_10_99,1.0215872592311825e-10
s2_10_99,3.79758314572598e-07
s2_10_99,0.0004438337428623873
s2_10_99,1.7319479184152442e-14
s2_10_99,9.420279001304266e-10
s2_10_99,0.0013117634011501345
s2_10_99,0.00015177919920850158
s2_10_99,9.870337880357738e-10
s2_10_99,0.0009354274812384267
s2_10_99,0.008491285535766613
s2_10_99,0.000314658149317415
s2_10_99,1.543556722438666e-07
s2_10_99,0.03873797948212854
s2_10_99,3.3652892430513504e-06
s2_10_99,8.479475380740453e-07
s2_10_99,2.7126745294481225e-10
s2_10_99,1.351732059617916e-10
s2_10_99,1.780335878720507e-10
s2_10_99,1.4668591519217955e-07
s2_10_99,0.013628556568875294
s2_10_99,1.8698709247644274e-10
s2_10_99,1.027354843241568e-05
s2_10_99,0.0038778298918955567
s2_10_99,1.4413892301945452e-10
s2_10_99,0.011366547240643343
s2_10_99,0.009488525380514146
s2_10_99,0.23815716076208182
s2_10_99,8.787893301942518e-09
s2_10_99,1.5480974925097257e-05
s2_10_99,1.178250723654628e-07
s2_10_99,2.413114152943763e-10
s2_10_99,0.02492517009389772
s3_100_999,1.0793677063247742e-10
s3_100_999,0.06163572426033115
s3_100_999,9.738657369418036e-08
s3_100_999,4.6182676460837513e-07
s3_100_999,0.010695835087362382
s3_100_999,1.6687395909542602e-10
s3_100_999,1.6905143951362334e-11
s3_100_999,1.58928870064301e-10
s3_100_999,2.2905721763777365e-10
