arm,dataset,n,estimate_maxima,crit_bw_1,n_modes_silverman
shipped_synthetic,dataset2972,24,1.0806797426955561,0.663968691041555,2
shipped_synthetic,dataset1886,21,1.004681587595805,0.5893160226703756,1
shipped_synthetic,dataset3415,580,1.1983612998776783,0.5810299659245631,2
shipped_synthetic,dataset851,10,1.173178372571236,0.8856846581455988,2
shipped_synthetic,dataset1127,6,1.0,0.7337572580396787,1
shipped_synthetic,dataset8717,27,1.0,0.3523162866467919,1
shipped_synthetic,dataset10221,191,1.0,0.27681886926430294,1
shipped_synthetic,dataset2116,92,1.0003206062104455,0.4372792165394802,1
shipped_synthetic,dataset4604,8,1.0579872270554664,0.8010156962283415,2
shipped_synthetic,dataset2544,30,1.0084756400458752,0.6284269727726618,1
shipped_synthetic,dataset2226,5,1.0014415579835052,0.775283748157382,1
shipped_synthetic,dataset12132,64,1.1826085657341647,0.6856254749071341,2
shipped_synthetic,dataset3706,5,1.0091074817816563,0.7964183177351295,1
shipped_synthetic,dataset10655,37,1.0610692730573665,0.6740091813512883,2
shipped_synthetic,dataset11312,5,1.0,0.5723598545016694,1
shipped_synthetic,dataset5363,85,1.3488376566265967,0.8005120710142078,3
shipped_synthetic,dataset4063,58,1.0,0.43784442307141236,1
shipped_synthetic,dataset3767,85,1.0177997187886116,0.7043556696556704,1
shipped_synthetic,dataset5280,451,1.010771444310687,0.40203766611424846,1
shipped_synthetic,dataset553,22,1.1308541687862197,0.7161193022653993,2
shipped_synthetic,dataset10157,498,1.0525002057797253,0.6528564634259819,4
shipped_synthetic,dataset3751,44,1.096154209595905,0.6519316317104761,2
shipped_synthetic,dataset7092,64,1.0,0.36481460956033607,1
shipped_synthetic,dataset8448,665,1.5255438072890843,0.7938522728415501,2
shipped_synthetic,dataset2396,149,1.072003882086216,0.45306046937059385,3
shipped_synthetic,dataset4143,136,1.3798114376316861,0.7569250525116511,2
shipped_synthetic,dataset3266,32,1.0609821022351515,0.7134125304780561,1
shipped_synthetic,dataset10140,518,1.2498530928986828,0.6785081614068208,3
shipped_synthetic,dataset3497,389,1.0,0.21693173821990736,1
shipped_synthetic,dataset11213,97,1.3089156848685652,0.6627867660455765,2
shipped_synthetic,dataset13781,6,1.0,0.6246807013459568,1
shipped_synthetic,dataset9606,46,1.2039422066548906,0.9306835436364902,3
shipped_synthetic,dataset8545,29,1.0613352131087035,0.6435599565934779,2
shipped_synthetic,dataset6746,80,1.0082361664779107,0.47297115286267233,2
shipped_synthetic,dataset5460,51,1.0226182359759781,0.5294653581464027,1
shipped_synthetic,dataset10137,7,1.0,0.6123150421899083,1
shipped_synthetic,dataset11950,138,1.1638196619639307,0.5887887587492352,2
shipped_synthetic,dataset2473,347,1.084439708878022,0.5396085033434148,4
shipped_synthetic,dataset7969,26,1.0,0.3676233570920442,1
shipped_synthetic,dataset785,6,1.0,0.6191791581328658,1
