material,coeffvar,coeffvar_uw,entropy,entropy_uw,fit_lognorm_SW,fit_lognorm_SW_uw,fit_norm_SW,fit_norm_SW_uw,kurtosis,kurtosis_uw,mean,mean_uw,mode_count_est,mode_count_est_uw,n,skewness,skewness_uw,w_v_uw_wasserstein,weight_outliers,weight_outliers_uw
FireAndSmokeProtection,0.9045164002812613,0.8975280666923291,1.2161819154366664,1.7917594692280647,0.9219585330519032,0.9271953962789253,0.7218746906382506,0.799938014145174,18.768420620947253,2.378016825728741,0.6982420076393778,1.0000000000000002,1.0050706149193098,1.0,6.0,3.423243862924622,1.6290677249936565,0.3291169962624837,0.12511814818799286,0.16666666666666666
Cladding,1.000541156712594,1.0342837608572848,3.6762546914140013,3.787868164746934,0.9003480595687962,0.8999008841341467,0.8516615769835595,0.830839910939531,-0.907510177204477,-0.850238921268061,1.0928102271414732,1.0000000000000004,1.0022510728593836,1.1011102716426608,122.0,0.6697923377219209,0.7249742030015478,0.09694666055844865,0.0,0.0
DampproofingAndWaterproofing,0.6280392132885073,0.6456645226367411,3.3775667571469588,3.8642999614991678,0.9278384021138572,0.9341428453506023,0.9300962004511184,0.9278018750680108,0.9573684257005612,2.0064793255134994,0.8564683307515419,1.0000000000000004,1.0142955522279151,1.0450573389789855,62.0,0.7196493638132294,0.9882033573711781,0.1453145886436259,0.0028832316529786178,0.016129032258064516
AluminiumExtrusions,0.8359681949376907,0.7946776616632608,2.328616162851945,2.507026435557432,0.9500782510265613,0.9330582835686616,0.8267342977043879,0.8939181205982079,-0.12777142820627105,0.7411552865733417,1.1403030776463117,0.9999999999999999,1.0,1.0,17.0,1.065334238547114,1.0427273592173383,0.16520505658678994,0.0,0.0
TranslucentWallAndRoofAssemblies,0.027078202642047695,0.037682606689966244,0.6718290383324041,1.386294361119891,0.95179201771229,0.985267186124923,0.9475626862959218,0.98321385199132,42.23023215616578,-1.1484675328595044,0.9642694019599991,1.0,1.0,1.0,4.0,4.086735301587551,0.37151227864531644,0.03573059804000079,0.0,0.0
VinylSiding,1.217801693285325,1.146814185703449,1.9182255653297866,2.079441541679851,0.9629031371374764,0.9525243949476981,0.7518493026977048,0.7710523282770008,-0.02788362213348527,2.570623079959576,1.1428227464897431,1.0,1.002959520050151,1.0,8.0,1.3195757758220754,1.7395580650504228,0.2442046389932448,0.0,0.25
CementGrout,0.32479114200510173,0.3228535955828994,4.756957061888713,4.789931039077398,0.8655250670648089,0.8835172132228727,0.9209153259397733,0.9281051161870921,1.9333372441157854,1.7504537174364718,0.9970717575218607,1.0000000000000002,1.0028793529958693,1.0053790828132503,3794.0,1.1925698558857563,1.1251682826733522,0.006158049470110036,0.04053624586584024,0.03769109119662625
AluminiumBillets,0.683411110584396,0.7419050831471042,3.612483644506468,3.972490967417443,0.9120045945631768,0.910190900637113,0.8774035891449823,0.8722027771594283,3.150618421911635,2.919492947137032,1.0131275438560083,1.0000000000000002,1.0249145237815345,1.0363853318875609,63.0,1.4578012373217835,1.5014253809644118,0.060501086220331186,0.05244209625191643,0.06349206349206349
CurtainWalls,0.4381681550389349,0.6712323386628509,2.3735216284538243,2.751666616931528,0.9600767821756846,0.9263277266348104,0.8954222688967226,0.7327525347747614,3.6971768850640223,6.27555820551573,1.0362325516995903,1.0,1.0094567140219484,1.0434783542929318,17.0,1.1625347771422825,2.3229494277542924,0.19665995983965978,0.007892808266027531,0.11764705882352941
Grouting,1.1230305873551665,1.0309967404523306,4.012609001902465,4.251709935958042,0.6437220612816063,0.6973472835191005,0.7352580054853216,0.779958203722362,3.6906671207458426,3.8586517682046435,1.0749239862729585,0.9999999999999997,1.0321539695593318,1.002646895461915,222.0,2.0228431335094053,1.9302614770221975,0.09263416674146473,0.08701648610163086,0.05855855855855857
Steel,0.5855725190010714,0.637577949174733,4.62757576199255,4.763061551755438,0.6535256060093468,0.7103852796737868,0.9671084821471296,0.9473621717340219,0.1534274293666871,1.5075057060849555,0.9965068878539237,0.9999999999999997,1.08772544766937,1.0811813140874813,443.0,0.4065944934135206,0.8224263359283108,0.037855484345545726,0.0027404574224387346,0.013544018058690743
SinglePlyTPO,0.28411025913796945,0.28437816332370774,2.803256282617333,3.170148321475513,0.9155275228786977,0.8993519262930986,0.919564047372811,0.9454955607711629,0.12163829280504743,0.6891007533175532,1.0453823474780934,1.0000000000000002,1.0,1.0,30.0,0.5465940214405154,0.315786805467071,0.04702249415672315,0.0,0.0
DemountablePartitions,0.5324001438317034,0.5043433485322363,3.0630298138608048,3.0924538823190106,0.9376929037163542,0.9236250863403831,0.9197044524026396,0.9263779643656362,1.1641798534132917,0.29710381135992137,0.8744066647945972,1.0,1.0,1.0010416367035258,50.0,0.9306359889360922,0.7261402484588007,0.127282489140675,0.0784900112236111,0.14
AccessFlooring,0.60653114514003,0.6076999899762577,3.4354522079730057,3.699343370021685,0.7961823428172218,0.7705755788321822,0.9505969501903145,0.9562011664442265,-1.2907472692582846,-0.7618357412493545,1.1133224615274535,1.0000000000000002,1.0318253075413613,1.0,62.0,0.03818879751076534,0.431866869100907,0.13533302264010624,0.0,0.0
PowerCabling,1.47078043515715,1.2992662877256629,3.740082736787758,3.974116964424344,0.9786166780501553,0.9593349282737539,0.6852178420621852,0.7579423554028587,3.299575483620824,1.3344865967213426,0.9075753453569197,1.0000000000000002,1.0025715008515446,1.0001824062146267,209.0,1.9659322971059472,1.4825621334802497,0.14762864204288162,0.15033866690896905,0.043062200956937795
CeilingPanel,0.7224861070411218,0.6823986145730635,4.2405092279263625,4.407582090112705,0.9755442511172941,0.9680926266638709,0.7828647554793701,0.8287625060727246,4.062278444175237,4.1403571177026555,1.0528638930920722,1.0000000000000002,1.065414277199137,1.0554998191471103,240.0,1.9878482482690518,1.8644245267986224,0.05523387625305157,0.06907842549941037,0.05416666666666666
DeckingBoards,0.45638401404438733,0.4778735198269323,1.9215446929950526,2.043191870545127,0.7175105050599359,0.6804396028207799,0.7066029174332153,0.6618150068466739,-2.4974629451389103,-1.7043761694139428,1.0911417979089195,0.9999999999999998,1.1162755835081477,1.0997577998185089,9.0,0.3449597298730308,0.8522343516439921,0.09515498232730953,0.0,0.0
Concrete,0.23889227652090203,0.26148494485384044,4.148015101454788,4.361944406133674,0.9248327415338738,0.9249642462426527,0.9478542529204277,0.9565635571438624,2.86127505441909,2.18554727156746,0.989411347018357,1.0000000000000002,1.0,1.005866518129341,209.0,0.7633889179388612,0.696285214415191,0.0215410380357228,0.0306861098761625,0.03349282296650718
Chairs,2.399819591206653,2.3062243422093065,2.3198365110165087,2.5186806945021374,0.8123239213726178,0.8079919618986068,0.4051939151707459,0.4267944647059927,9.35945888315279,8.939884392111113,0.9127653696629141,1.0000000000000002,1.0436905826897414,1.0414026082293113,84.0,3.212209223915889,3.127926448494164,0.0886344740762387,0.1321549787284131,0.15476190476190477
DoorsAndFrames,0.5861110117856742,0.6971096259919511,2.6972317457896517,3.163424050423414,0.8835733461099363,0.9312165825632645,0.9278451131353901,0.9092390318231106,-1.4924631490501505,0.15851515609363356,1.4551202618488055,0.9999999999999998,1.0138051301261144,1.0,25.0,-0.07569366339314221,0.9314398846650779,0.45645261544425886,0.0,0.08
HotRolled,0.8502845428658619,0.8581427250635852,3.4465760830563235,3.7304395710314333,0.9595958921158756,0.9727213698030176,0.8102185872641517,0.8326043125139062,4.691716536649055,2.8878412832249154,0.8577657251523308,1.0000000000000007,1.0063116247501576,1.0105804813863437,63.0,1.8808143346720434,1.5990973063743779,0.14573277568719034,0.11911802745058256,0.015873015873015872
Elevators,1.9203918054827893,2.245941556520122,1.5037510227436193,1.6462245538299014,0.9622703662754598,0.9550840632582978,0.5367293067423634,0.5048977246876871,11.902612897314938,8.898715301309148,0.5892067467428262,0.9999999999999999,1.0513134895667646,1.0501637510792887,16.0,2.8077025978735946,2.898895265300824,0.49835030445334705,0.14662455888635723,0.25
TileGrout,0.9366726602555244,0.8942391175256513,3.3223138100591934,3.5233557279818593,0.6542657705913131,0.6992837410355398,0.8432492717293888,0.79731128718241,1.1412380310800285,2.759724082774749,1.0337758267147732,0.9999999999999999,1.0135947729370045,1.0039927948064056,43.0,1.3934338824920909,1.7601364519504963,0.10749603534953005,0.04305236251091993,0.09302325581395349
WireMeshSteel,0.6379895888088505,0.5832775005270983,2.6400236754828024,3.0625293002546288,0.9240080241197499,0.9266034695749211,0.9024458474144308,0.9348815382406481,-0.9343907979334304,-0.42882258707457366,0.9316467146066794,1.0,1.022271072045472,1.0382993540379741,24.0,0.4929236950675895,0.4455712715983813,0.09161147719812679,0.0,0.0
Countertops,1.315768964871538,1.2941159358908045,3.132818605415223,3.239173732483503,0.9578790551951271,0.957561679208792,0.6867923002908572,0.6991037530231928,9.339258629622105,5.81848250916322,0.8034468478542841,1.0000000000000002,1.0189248341365755,1.037271524530629,46.0,2.733753836115483,2.3353715431550572,0.19658620673783367,0.14790999959424964,0.19565217391304346
WoodFraming,0.46683397233536966,0.7107861965019023,1.5713611079269334,1.747868097466763,0.7015437871592136,0.7994428778751925,0.7511977646940854,0.8007294462375731,-0.05527603086698441,-2.540234708046055,1.4068534157149952,1.0000000000000004,1.0,1.0880718026465894,7.0,-1.363311610863415,0.20936253327224677,0.40685341571499506,0.0,0.0
MembraneRoofing,0.691947611132742,0.7150928965974382,3.2350994849577193,3.544123246252071,0.8869781866514668,0.8769727684412465,0.9148383987555505,0.9279558872225157,1.5631653258619038,1.0013884259649628,0.8826266830011317,0.9999999999999997,1.0,1.0,55.0,1.0654112285135287,0.9943369186982594,0.12408442939265683,0.04997614591886646,0.01818181818181818
BlownInsulation,0.7639855223124102,0.9108732125542066,2.3840925417649057,2.968391891541977,0.9321680648306313,0.9688215295017388,0.8222946284970398,0.7969783583756005,1.895845844396487,3.6506589966700833,1.0316078849116828,1.0000000000000002,1.0006194960131225,1.0027408525726877,27.0,1.2806677389317012,1.8177720548031686,0.16650212695837505,0.014044546960175928,0.07407407407407407
SinglePlyPVC,0.4801564699322522,0.4040140400940494,3.613333992456861,3.9345649611124234,0.9815399469271561,0.94820208317191,0.9303627690364378,0.9270527473352458,0.280154709613933,1.503896262684529,0.9919799431386018,1.0000000000000004,1.0,1.0022278884823668,84.0,0.873812652960686,1.0399176215976622,0.07854520910129231,0.0,0.047619047619047616
RoofCoverBoards,0.5032444053136957,0.4075192224891616,1.7526362385003698,2.0794415416798393,0.657595712619028,0.8757374427905011,0.6068934690961626,0.8145068586090606,3.484777894999472,2.3579092352359523,0.9038303543385953,1.0,1.016339871131156,1.0,8.0,2.089637741710583,1.541202675779162,0.13878512385476943,0.22360393564849632,0.125
ProcessedNonInsulatingGlassPanes,1.242411067636969,1.136795376490678,3.6464081748000265,3.9055200968891364,0.9464124238017163,0.9361193864210159,0.740297824084903,0.8043957107163329,4.328643516143555,3.680764779520724,1.0804846099311294,0.9999999999999999,1.0160365485109144,1.0002608212635549,114.0,2.053527303191768,1.7648162941877588,0.1177720991534574,0.05830134149560025,0.043859649122807015
ThermalMoistureProtection,0.21214605596420238,0.41725805986622416,0.8909153701490032,1.3862943611198943,0.9977798919139835,0.9399869084123247,0.9859772262600446,0.8603013976872429,27.106246341322212,2.7577467027602025,0.7148140122203318,0.9999999999999999,1.0027012758717688,1.0,4.0,1.891562455423769,1.5710363508266234,0.2851859877796682,0.0,0.25
MetalRailings,0.06884251174665777,0.12084889149240072,1.1546025935664503,1.386294361119892,0.8711691884934872,0.9302637609576712,0.8421581800302375,0.9076355637221097,48.86425000169986,2.2689344545119563,0.9406686039514285,1.0,1.0110553773007604,1.0,4.0,2.725062101319302,1.257657239906892,0.0593313960485716,0.0,0.25
GypsumSheathingBoard,0.38636831442018593,0.3627917162083311,2.260870641073881,2.5975087827449337,0.8364502887965787,0.8108172187538346,0.962060734539388,0.97787442371284,-0.7335637861839706,0.20497401468968524,1.0659014522426786,1.0000000000000002,1.0,1.0,19.0,-0.2630067297084832,-0.16984773182551408,0.09797060614248011,0.0,0.0
FlowableFill,0.6593647686594372,0.6633918500131224,4.820621826799246,4.89712010250828,0.9778767397758892,0.9800808316164986,0.8443149380774055,0.8497437434505007,1.5356945614375295,1.434339558031693,0.9849551477352145,0.9999999999999996,1.0116676039847414,1.0040260498955644,2075.0,1.4296961006981632,1.394440848920966,0.016577479971919433,0.06447287654708163,0.04867469879518071
Shotcrete,0.21001924230201383,0.20838031672342797,4.8945067774996165,4.926964633180849,0.9941133106958587,0.9961443786503935,0.9882162256900875,0.9820465449145265,0.2105285560244871,0.5535976840365285,0.9948114974478685,1.0000000000000002,1.0,1.003351682604777,1682.0,0.40962475347789934,0.5473403791983866,0.006382757399882216,0.009290674693601694,0.01307966706302021
Siding,0.4651014546835265,0.6278805679977056,1.1514564018487963,1.3862943611198957,0.8207160483638444,0.8396563024884647,0.869863913313509,0.8419459668185255,-1.7644406349129682,-5.208402347427655,1.2358768510891345,1.0,1.0,1.0702406559953648,4.0,-1.0989569457777781,0.11465005135754658,0.23587685108913445,0.0,0.0
NetworkingCableTrays,0.5163756291110957,0.5047333190831714,2.3909625684330873,2.6393405872324402,0.9640542915113476,0.9168850775125579,0.9408979538731053,0.944609230091895,-0.26779145880189453,-0.08026601676871711,1.0503888382317652,1.0,1.0,1.0,17.0,0.6651309580985568,0.527383369098568,0.06334178396266932,0.0,0.0
NetworkingRaceways,0.6916131182687875,0.882983675325027,2.7686329405585055,3.151458510243042,0.8027157435839405,0.8498744364951196,0.8950055665502483,0.8604821068362734,3.2904333533397616,1.9133296881351056,0.9908757900843217,1.0000000000000002,1.0,1.0,26.0,1.353530628493867,1.4436972783619575,0.1672024920655168,0.0402840916129301,0.07692307692307693
InsulatedWallPanels,0.4206550619936945,0.5282288573685671,3.520011730812252,4.011828299820399,0.8723541711976868,0.911271083912867,0.9786964612387379,0.9680736528264452,-0.7045490293769102,-0.7061409292433735,1.1666486203167392,0.9999999999999998,1.0,1.0,72.0,-0.10686090646973488,0.3046951772683644,0.17163468188834324,0.0,0.0
