metric,empirical_median,synthetic_median,empirical_iqr,synthetic_iqr,median_shift_in_sd,w1_standardized,ks,weight,empirical_arm,corpus
kurtosis,5.757942488533415,1.5160142883373866,15.022297591481898,2.7410454561643913,-0.0670348907002308,0.3005605227561763,0.43698919316729284,1.0,new arm,2026-09-12b
n,53.0,99.5,155.25,989.75,0.006235430025487894,0.18120042123508176,0.24191764705882354,0.25,new arm,2026-09-12b
w_v_uw_wasserstein,0.11916001421685755,0.09293270513387279,0.1378524132934675,0.14526848806280956,-0.1861709011325055,0.15486534683318326,0.1356058823529412,1.0,new arm,2026-09-12b
fit_lognorm_SW,0.9367945627134653,0.8524967964861607,0.05983337897752261,0.18246488192606336,-1.439243329600021,1.9208319292605394,0.43515882352941176,1.0,new arm,2026-09-12c
skewness,2.059584054459011,0.7405096726202796,2.2347104851405817,1.5803676913802422,-0.40576732395330023,0.6423822718882803,0.41966470588235294,1.0,new arm,2026-09-12c
w_v_uw_wasserstein,0.11916001421685755,0.13884598270669812,0.1378524132934675,0.2555829079183687,0.1397381058736752,0.5499728855197625,0.19175882352941176,1.0,new arm,2026-09-12c
crit_bw_1,0.8519580788266062,0.6125636917770872,0.5009935395726246,0.3058273884017688,-0.37443710937527286,0.5244656478744358,0.3654529411764706,3.0,new arm,2026-09-12c
entropy,2.930540038638127,2.8526447020053753,1.2226748905496998,2.69844373248176,-0.07684704263280508,0.49690436444859976,0.2111,1.0,new arm,2026-09-12c
weight_outliers,0.05714269684099743,0.012928770028012612,0.09204808347203428,0.07342015675391766,-0.704257017879993,0.37023619160139115,0.2658235294117647,1.0,new arm,2026-09-12c
fit_norm_SW,0.7561292197164595,0.8461234099188499,0.26690587174687486,0.208153204462032,0.42953016548682416,0.3194638423333116,0.19515882352941177,1.0,new arm,2026-09-12c
coeffvar,0.7823090199084836,0.5396796715695688,0.7141164284265065,0.5277039440323098,-0.14974488345305892,0.31437957809904554,0.28608823529411764,3.0,new arm,2026-09-12c
kurtosis,5.757942488533415,0.9549505713748774,15.022297591481898,3.8998325968666645,-0.07590134085389183,0.29859660158253726,0.4082290738660572,1.0,new arm,2026-09-12c
n,53.0,99.5,155.25,989.75,0.006235430025487894,0.18120042123508176,0.24191764705882354,0.25,new arm,2026-09-12c
