material,n_old,n_slice_incl_expired,n_new,delta,slice_covers_old,unit_type_new,unit_type_mix,n_unit_types,med_ratio
Tables,7,553,161,154,True,weight,weight:161|area:20|vol:3,4,0.028083041848484848
ThermalMoistureProtection,4,6,4,0,True,area,area:6,1,4.263648468708388
TileGrout,43,101,44,1,True,weight,weight:99|area:2,2,1.2412640174524119
Timber,17,111,17,0,True,vol,vol:64|area:20|weight:15,3,1.0
TranslucentWallAndRoofAssemblies,4,54,47,43,True,area,area:53,1,1.4216701173222912
UnitSkylights,13,18,17,4,True,area,area:17,1,0.9032959844214723
VinylSiding,8,27,11,3,True,area,area:21|weight:1|vol:1,3,0.7450441609421001
WallBase,3,29,14,11,True,length,length:22,1,1.0045454545454533
WallFinishes,130,409,173,43,True,area,area:326|length:44|weight:5,3,0.7004286343070505
WallPanels,248,437,164,-84,True,area,area:427|weight:3|vol:1,3,1.1035927641518954
WeatherBarriers,21,81,59,38,True,area,area:77|weight:1,2,1.271159368093508
WindTurbines,3,35,3,0,True,vol,vol:4|length:3|area:3,4,1.0
Windows,293,744,363,70,True,area,area:482|weight:19|vol:8,4,0.9630118890356671
WireMeshSteel,24,88,55,31,True,weight,weight:84|area:3,2,0.9322462006080552
WoodDoors,30,229,32,2,True,area,area:52|weight:46|vol:10,4,1.1467008305129351
WoodFlooring,109,226,90,-19,True,area,area:177|weight:16|vol:12,4,1.1072875939849625
WoodFraming,7,26,9,2,True,vol,vol:23,1,0.9361586419872978
WoodJoists,4,15,5,1,True,length,length:13,1,0.7148485594681112
WorkSurfaces,10,87,13,3,True,area,area:24|weight:7|vol:5,4,1.0909090909090908
