material,coeffvar,coeffvar_uw,crit_bw_1,crit_bw_1_uw,entropy,entropy_uw,fit_lognorm_SW,fit_lognorm_SW_uw,fit_norm_SW,fit_norm_SW_uw,kurtosis,kurtosis_uw,mean,mean_uw,modality_index,modality_index_uw,n,skewness,skewness_uw,w_v_uw_wasserstein,weight_outliers,weight_outliers_uw
CeilingPanel,1.55450050944891,1.7017565542932493,1.2656560664968353,1.2125405488545071,3.2305848434222044,3.2693726685281432,0.9620427676643903,0.9568736277119201,0.5923487103242647,0.5068660394162945,13.427562058245007,24.900522629884378,1.1286587133301724,1.0000000000000007,1.0212629269287115,1.0138985714664908,239.0,3.0834401351779874,4.290066172366697,0.1793669173433459,0.19778447035876948,0.15899581589958164
Cement,0.4038565508626389,0.42812101124329716,0.8666532147205068,1.034705921768088,4.3362216989685125,4.4206584174391494,0.9305353364376893,0.9351709493486164,0.921211644681336,0.891265753733663,8.00198836272068,10.614969427908374,0.9810878892365393,1.0,1.008986391818732,1.0078438905307219,1088.0,1.4494132701641391,1.87695238603348,0.020542933945038196,0.021777994185049682,0.022058823529411763
CementBoard,0.4989239307650171,0.5411887647430993,0.4315658487759537,0.43752491994952464,2.6857126373796927,2.912494403331059,0.9438399568306849,0.9445280525474916,0.8800130777084512,0.864462699249297,0.761469197307309,0.2417912080018922,0.9892221691719081,0.9999999999999998,1.0,1.0,21.0,1.1180347026184676,1.0793512940216246,0.053541528064554055,0.08140945196654045,0.14285714285714285
CementGrout,0.35902032812122103,0.36619098719600485,0.8488765913701833,0.9663676562031878,4.371847413228285,4.398905732538409,0.9769395680701956,0.9748794474647776,0.8523953221267845,0.8410209673686802,7.432766668350905,9.449806441200241,1.0036672515720544,1.0000000000000004,1.0036775150416974,1.0065669871010523,3764.0,2.0372162654020083,2.235647251286485,0.0064661772853822925,0.04249333291166457,0.04330499468650371
CementitiousMaterials,0.5693061039278176,0.6348332501632425,0.6882871606762959,0.6637404535167589,2.4472280019704256,2.8892425051146424,0.843126213634105,0.8582704128031439,0.941540860012612,0.9486859582516451,-1.457813414983717,-0.9592047433454532,1.0343655430267362,0.9999999999999998,1.034367154540953,1.0558424703460225,24.0,0.0021299081303759212,0.23328199806344874,0.08556065312754803,0.0,0.0
CementitiousSheathingBoard,0.9517505410358771,0.8478777318524132,0.4561226384804353,0.4873531430505661,3.2854291157375286,3.7210304010504482,0.9127308508139023,0.9180642120630196,0.8787478377771167,0.9043980327782193,-0.2665349208717812,-0.3203990250841713,0.9506893778979637,1.0,1.0,1.0008746173147705,51.0,0.8450629007693172,0.7344470257292786,0.08329457875773945,0.0,0.0
Chairs,3.472008489612999,3.9037148893802742,1.2075915931860892,1.3523686566596076,1.8320734904792064,1.7450963363926841,0.8801931105735312,0.8555344264368472,0.2675814626280486,0.24682316879956823,47.45842323993197,40.2477602928396,0.9561791513490354,0.9999999999999996,1.0315740242604845,1.0323314671581107,88.0,6.462719353856125,6.1426643409667925,0.1863198535295266,0.0640694528611796,0.045454545454545456
Cladding,1.0132404177310088,1.0659721412428589,0.5595618142243728,0.5249869750064017,3.74706618225495,3.947686847629816,0.9001584544909668,0.9198813800292939,0.8421052979961102,0.8191946387555348,-0.9565495944588278,-0.5694520693479332,1.1444083466267168,1.0000000000000002,1.0207133191492492,1.0801231860966094,135.0,0.709755295845496,0.8828508248796455,0.14928953511241264,0.0,0.0
Coil,0.527903936981525,0.633119340789944,0.8550395662830291,1.1128322667681396,3.8054910235967547,4.0572887536441,0.8954116313260895,0.9436469094758352,0.8985414368564709,0.7827473234135598,7.31925302078206,13.140528730503613,0.9547668721276572,0.9999999999999999,1.0043654134600843,1.016613509646723,140.0,1.5397677858184604,2.727069475997609,0.05548987726108008,0.038383617965045864,0.03571428571428571
ColdFormedSteel,0.49197782932825074,0.5017522561390947,0.5378123051113859,0.5068383825130309,3.5395932560566017,3.912281110049895,0.9101602315009069,0.9466436990447005,0.9315183613192042,0.9522197072440094,-0.2705193504124517,-0.3475173985040956,1.0178936394537232,1.0,1.0003531730020594,1.0355727479145191,67.0,0.3957448082868436,0.46853128627800705,0.043870979125882614,0.006618775707018275,0.0
