material,k,min_mode_cv,median_mode_cv,avg_overlap,min_overlap
DampproofingAndWaterproofing,4,0.06441281847771081,0.39245350854402955,0.07465385082024857,0.00019448942761515807
DataCabling,5,0.023559741653541542,0.21108567252860572,0.1040820208844863,0.0051495115442209815
DeckingBoards,1,0.5364766206661301,0.5364766206661301,,
DeckingSteel,1,0.26400508106268145,0.26400508106268145,,
DemountablePartitions,2,0.001,0.2415246790078409,8.014168888486875e-05,8.014168888486875e-05
DoorsAndFrames,2,0.3982551841871676,0.9905113854602877,0.12963153352496648,0.12963153352496648
Elevators,3,0.0010000000000474965,0.0017784162687206266,0.00016501005897737514,3.907877650471179e-303
FenestrationAccessories,5,0.0009999999999999998,0.002773047663717112,0.0006219817017580568,0.0
FenestrationFraming,4,0.001,0.3027568261588718,0.0973364412531997,2.4663231966504496e-303
FiberCementSiding,2,0.15933571181668674,0.20375828537678276,0.00011639644065797544,0.00011639644065797544
Finishes,3,0.0009999999999999998,0.0009999999999999998,1.802447120028599e-05,0.0
FireAndSmokeProtection,3,0.0009999999999999998,0.0665664916232014,1.0132548149804365e-05,1.0920718621686814e-97
FlashingAndSheetMetal,4,0.0009999999999999998,0.03656173353540021,0.004056212026089269,0.0
FlatGlassPanes,4,0.0010000000000000002,0.18695959176555355,0.028048064307053634,2.6580717428770843e-304
Flooring,5,0.001,0.044869102833725846,0.00010310201203806907,0.0
FlowableFill,5,0.06270658963777917,0.22775849512202148,0.13445325687436646,0.011653967782664212
FoamedInPlace,3,0.0010000000000000002,0.06916012681929759,0.004321848681176018,1.917009676119018e-304
Furnishings,2,0.07927706430004663,0.08620347456310151,0.0008349464770375432,0.0008349464770375432
GlazedDoors,4,0.009721929590306232,0.3957466079085965,0.08816153502061698,0.002179720113737136
Grouting,5,0.019448705631444043,0.19180730294366438,0.06695850302951112,0.0019794844304080474
Gypsum,3,0.2661710530321262,0.4622277272362564,0.2702735857256963,0.12647546668143952
GypsumSheathingBoard,1,0.33337542895833383,0.33337542895833383,,
Hollow,2,0.0009999999999999998,0.16615777712764282,6.347534079144186e-10,6.347534079144186e-10
HotRolled,2,0.24021890425538733,0.803146483285556,0.1099895083320849,0.1099895083320849
InsulatedRoofPanels,2,0.14353066464552625,0.2411735612963128,0.525154399695058,0.525154399695058
InsulatedWallPanels,3,0.001,0.16032362916210224,0.1600416884051266,7.214038965782701e-81
